id,treated,baseline,followup
1,1,52.53,59.64
2,1,62.16,58.09
3,1,46.31,37.38
4,1,66.08,63.79
5,1,58.82,57.81
6,1,50.21,35.98
7,1,18.31,31.04
8,1,35.02,28.19
9,1,74.47,75.43
10,1,52.43,50.96
11,1,40.22,24.81
12,1,32.94,29.3
13,1,59.08,52.54
14,1,49.13,37.7
15,1,50.79,49.49
16,1,49.61,45.07
17,1,61.93,53.62
18,1,60.57,51.5
19,1,44.7,40.02
20,1,61.16,48.55
21,1,60.56,55.41
22,1,40.22,40.86
23,1,48.96,40.39
24,1,52.12,55.62
25,1,36.57,36.4
26,1,52.8,50.65
27,1,40.92,39.6
28,1,57.95,50.8
29,1,26.08,38.29
30,1,51.87,42.72
31,1,48.04,33.66
32,1,43.55,43.95
33,1,58.02,47.88
34,1,32.85,32.96
35,1,55.38,50.26
36,1,38.72,38.52
37,1,45.2,41.51
38,1,50.41,46.65
39,1,68.62,55.0
40,1,49.78,48.94
41,1,52.18,50.0
42,1,51.84,37.83
43,1,55.51,58.17
44,1,41.63,51.5
45,1,59.26,51.42
46,1,32.16,35.62
47,1,47.51,51.45
48,1,52.16,47.52
49,1,56.26,57.46
50,1,50.05,49.19
51,1,54.85,48.32
52,1,57.18,47.12
53,1,44.31,42.11
54,1,56.14,65.38
55,1,54.17,50.52
56,1,40.74,37.78
57,1,42.43,36.96
58,1,44.34,43.32
59,1,47.28,40.74
60,1,46.81,39.2
61,1,47.84,37.73
62,1,53.76,49.81
63,1,49.09,42.41
64,1,45.15,35.99
65,1,43.68,45.97
66,1,44.99,38.92
67,1,62.43,63.41
68,1,39.26,37.34
69,1,50.69,45.27
70,1,64.46,51.88
71,1,39.61,30.48
72,1,56.35,57.33
73,1,51.84,46.34
74,1,54.55,51.34
75,1,41.5,42.22
76,1,53.35,52.92
77,1,54.29,53.9
78,1,51.99,37.0
79,1,47.23,41.82
80,1,37.68,46.36
81,1,50.17,42.99
82,1,58.36,59.54
83,1,39.75,44.06
84,1,51.66,51.59
85,1,50.81,57.95
86,1,54.71,42.65
87,1,68.52,55.69
88,1,41.91,40.63
89,1,46.56,37.66
90,1,65.28,62.32
91,1,46.47,50.49
92,1,46.13,56.4
93,1,50.82,46.51
94,1,64.6,55.73
95,1,48.91,40.2
96,1,50.85,64.74
97,1,67.64,58.72
98,1,42.51,43.41
99,1,61.98,56.6
100,1,48.3,42.09
101,1,25.65,33.61
102,1,64.4,52.67
103,1,47.15,46.87
104,1,54.69,42.96
105,1,28.69,36.67
106,1,52.36,55.07
107,1,60.47,46.66
108,1,43.76,44.19
109,1,50.86,40.37
110,1,45.81,37.89
111,1,46.95,54.03
112,1,42.69,42.61
113,1,53.56,48.88
114,1,53.27,46.17
115,1,38.32,42.92
116,1,56.16,41.13
117,1,57.21,56.61
118,1,49.15,48.61
119,1,34.15,37.26
120,1,53.43,53.14
121,1,53.05,45.02
122,1,55.84,43.19
123,1,49.41,48.8
124,1,45.55,48.46
125,1,66.05,58.1
126,1,53.32,45.99
127,1,64.09,42.17
128,1,44.99,42.08
129,1,38.93,45.7
130,1,54.96,50.15
131,1,44.38,45.87
132,1,57.99,45.64
133,1,50.79,42.34
134,1,48.49,40.92
135,1,50.53,47.45
136,1,48.34,51.58
137,1,56.75,52.82
138,1,44.92,46.64
139,1,34.95,35.72
140,1,41.91,35.44
141,1,40.79,38.17
142,1,42.07,47.4
143,1,54.65,55.06
144,1,51.62,34.73
145,1,69.14,59.07
146,1,61.29,56.05
147,1,54.22,43.65
148,1,53.58,46.08
149,1,42.33,38.67
150,1,48.96,41.3
151,1,49.03,35.51
152,1,42.74,35.79
153,1,59.2,53.23
154,1,53.13,40.65
155,1,51.21,47.88
156,1,51.43,47.22
157,1,42.1,45.37
158,1,63.46,59.45
159,1,52.88,52.14
160,1,57.48,52.98
161,1,52.96,47.18
162,1,74.42,48.77
163,1,64.15,60.6
164,1,36.51,39.33
165,1,52.3,44.5
166,1,59.16,55.73
167,1,35.02,41.51
168,1,64.59,62.21
169,1,41.35,30.84
170,1,54.58,46.01
171,1,61.26,56.56
172,1,49.27,54.12
173,1,36.83,50.17
174,1,49.73,46.53
175,1,68.08,52.94
176,1,50.89,51.79
177,1,50.03,45.6
178,1,58.63,53.73
179,1,54.71,55.28
180,1,40.78,44.08
181,1,43.82,48.47
182,1,52.9,50.7
183,1,62.42,53.46
184,1,37.51,34.98
185,1,42.02,31.4
186,1,59.21,41.8
187,1,47.05,40.68
188,1,63.12,40.9
189,1,45.69,56.99
190,1,38.71,33.67
191,1,53.91,39.22
192,1,52.86,55.59
193,1,51.71,46.79
194,1,36.96,26.99
195,1,61.61,51.59
196,1,43.76,40.2
197,1,62.19,51.86
198,1,67.18,58.8
199,1,54.82,48.99
200,1,43.2,36.19
201,0,41.28,49.79
202,0,40.33,41.91
203,0,45.12,43.6
204,0,57.6,59.9
205,0,70.47,62.1
206,0,43.24,45.54
207,0,60.69,57.91
208,0,48.46,47.06
209,0,35.6,41.05
210,0,45.57,49.52
211,0,35.42,51.85
212,0,32.62,42.38
213,0,69.84,59.83
214,0,53.37,47.94
215,0,62.92,49.36
216,0,53.5,59.1
217,0,37.34,42.39
218,0,45.06,53.88
219,0,24.25,36.29
220,0,61.85,60.78
221,0,37.38,42.21
