id,method_a,method_b
1,100.703018,101.01109
2,107.20842,105.989729
3,81.61323,94.664315
4,118.676694,128.526321
5,116.049689,122.579509
6,86.06765,88.528155
7,112.646162,113.523532
8,78.705625,81.333626
9,64.739427,62.68451
10,83.630738,83.06133
11,99.890842,102.68732
12,83.514468,86.539925
13,78.661846,81.028688
14,113.94775,117.63352
15,67.926981,75.031469
16,55.630356,59.238383
17,120.483725,122.860634
18,77.01494,83.163464
19,90.476728,76.201748
20,75.913087,88.122283
21,103.047892,107.226055
22,108.85639,107.708682
23,85.388035,88.844908
24,90.944667,89.320624
25,93.527762,87.682345
26,109.454373,106.607557
27,92.355935,91.300555
28,82.369542,86.173001
29,99.658115,99.235929
30,82.447684,85.392454
31,78.940586,86.97918
32,101.121336,105.053314
33,129.09578,125.273419
34,71.138131,73.428461
35,80.876281,91.151778
36,92.960696,94.509995
37,94.622743,97.83757
38,108.939968,105.033278
39,76.665227,76.892196
40,85.860284,93.081293
41,85.531466,90.444722
42,70.698294,78.979368
43,100.284811,106.780876
44,86.509889,80.686707
45,94.747945,95.031399
46,74.450041,72.760018
47,84.314679,81.050224
48,101.300279,110.420044
49,92.693336,90.592484
50,114.534094,120.152983
51,92.906528,97.484168
52,94.407498,89.028002
53,84.39873,77.452033
54,107.509336,107.508641
55,117.148932,121.295603
56,114.810339,117.003139
57,95.820131,104.185719
58,112.131143,114.397807
59,66.810726,66.820037
60,101.360333,104.595019
61,104.539624,108.836733
62,85.092682,93.076111
63,96.083235,91.572771
64,127.879184,129.1465
65,84.614259,85.241719
66,126.153178,122.545235
67,106.002857,105.439303
68,90.170622,104.395292
69,102.128863,100.883807
70,87.092103,82.20923
71,122.604891,121.983345
72,68.180357,78.634419
73,101.580527,98.859062
74,105.346465,107.494287
75,113.412042,113.063297
76,99.737191,102.604594
77,110.104193,111.30369
78,89.714927,97.324419
79,144.591598,146.161271
80,109.295037,108.907814
81,98.899143,106.047765
82,101.98574,109.678542
83,82.926224,78.232563
84,101.73712,109.392967
85,134.571537,131.181283
86,76.966071,88.959795
87,111.201127,112.391933
88,75.293532,85.938753
89,100.496203,105.483426
90,71.28791,75.30517
91,89.209853,95.596773
92,128.297118,127.359568
93,67.794598,69.330274
94,83.769652,88.551869
95,86.415202,94.901232
96,102.937957,98.099449
97,85.904976,89.702144
98,92.984259,98.166926
99,98.734902,100.762871
100,96.743722,99.854615
101,117.85676,125.193006
102,113.23708,113.83216
103,94.727359,90.119349
104,126.25972,125.616879
105,105.113511,106.167628
106,86.961683,89.407335
107,106.427248,113.713557
108,89.047084,95.159114
109,121.784648,124.671272
110,86.276627,94.38315
111,99.727207,103.009232
112,114.4522,117.52472
113,113.418789,108.709022
114,116.822085,123.347408
115,129.1848,126.704706
116,77.959846,82.213488
117,94.728263,97.507772
118,119.3563,117.529924
119,88.144592,93.735604
120,84.461911,89.873811
121,92.451461,97.764757
122,94.996894,103.997192
123,115.314667,126.262672
124,69.678329,72.504004
125,146.351426,142.093917
126,109.430503,112.846317
127,98.764651,92.324625
128,98.192517,98.334417
129,89.47986,90.919552
130,115.063151,113.096164
131,122.028081,128.486792
132,111.771825,115.044146
133,113.063044,114.733376
134,103.653905,114.921578
135,106.181591,106.744434
136,69.951168,72.300633
137,81.621656,81.285665
138,83.588211,84.607453
139,126.528713,134.626303
140,95.713548,103.950217
141,115.762248,110.97217
142,100.405781,100.083239
143,100.388918,109.631491
144,101.950642,111.340868
145,86.954991,87.873317
146,96.283628,99.436872
147,103.655126,106.402541
148,105.433335,102.110425
149,108.300198,105.831361
150,87.067692,87.153579
