id,lp,event
1,0.26911,0
2,-1.337521,0
3,-1.187766,0
4,-2.6418,0
5,-4.11982,0
6,-3.777568,0
7,-0.757812,0
8,-1.408605,0
9,0.320505,1
10,0.131801,1
11,-2.097293,1
12,-1.834221,0
13,-3.33162,0
14,-0.209561,1
15,-1.946378,0
16,1.772744,1
17,0.505096,0
18,-1.376164,0
19,-0.323762,0
20,0.02587,1
21,-1.313128,0
22,-1.932594,0
23,-1.75037,0
24,-1.349986,1
25,-2.606414,0
26,-2.353103,0
27,-0.600193,0
28,0.319667,1
29,-2.008627,0
30,-1.936268,0
31,-0.615969,0
32,0.58873,1
33,-0.597157,0
34,-3.075259,1
35,1.169143,1
36,0.298925,1
37,-1.604873,0
38,0.736714,0
39,0.331312,0
40,0.101821,0
41,0.42604,1
42,-1.430085,0
43,-0.341125,1
44,-1.473298,0
45,-1.141438,0
46,-1.525541,0
47,-1.558168,0
48,-1.649553,0
49,0.167127,0
50,-1.220771,0
51,-1.034796,0
52,-0.817215,0
53,-1.496354,0
54,-0.700517,0
55,-1.774279,0
56,-2.216097,0
57,-1.499556,1
58,-0.988239,0
59,-0.974541,0
60,-2.695438,0
61,0.448248,0
62,-2.087356,1
63,-3.674419,0
64,2.225732,0
65,-0.321346,0
66,-0.017205,0
67,-0.182737,1
68,0.727661,1
69,-2.079232,1
70,-1.0932,0
71,-3.699623,0
72,-1.371283,0
73,-2.541007,0
74,-1.815677,0
75,-0.754565,0
76,-0.677744,0
77,-2.012811,0
78,0.393472,0
79,-2.609961,1
80,-0.968071,0
81,-0.735324,1
82,-2.782062,0
83,-3.373697,0
84,-0.089384,0
85,-0.205033,0
86,-0.226666,0
87,-0.564039,0
88,0.410462,0
89,-3.437751,0
90,-0.958639,0
91,-1.575852,0
92,-1.535532,0
93,-4.323693,0
94,-0.411214,0
95,-0.072022,0
96,-1.238693,0
97,-0.520783,0
98,-0.477038,0
99,-0.405954,0
100,-0.423938,0
101,1.704823,0
102,0.160729,0
103,0.507772,1
104,-0.329291,0
105,-2.619179,0
106,-3.137142,0
107,-1.352408,0
108,-0.568874,0
109,-0.959281,0
110,-1.308462,0
111,-2.233444,0
112,-0.732238,0
113,-2.074315,1
114,-2.785973,0
115,0.662894,1
116,-0.494887,0
117,-1.503595,0
118,-1.778225,0
119,-2.624754,0
120,-1.563349,1
121,-0.726497,0
122,-2.73933,0
123,1.705367,1
124,1.645501,0
125,-3.370739,0
126,-2.393874,0
127,-2.07804,1
128,0.248854,0
129,-0.516758,0
130,0.409991,0
131,-1.555789,0
132,1.004091,0
133,-2.821073,0
134,-0.853766,0
135,-1.230965,0
136,-2.722625,0
137,-0.770537,0
138,-1.401035,0
139,-0.037212,0
140,-3.475943,0
141,-2.346454,0
142,-0.340444,0
143,-2.452692,0
144,-1.291219,0
145,1.128695,0
146,-0.721627,0
147,0.187576,0
148,-0.70235,1
149,-3.910407,0
150,-1.762381,0
151,1.647468,1
152,-0.967661,0
153,0.213077,0
154,-2.700812,0
155,-1.847642,0
156,1.054316,1
157,-0.774338,0
158,-0.991823,1
159,2.589706,1
160,0.946552,0
161,-1.31517,0
162,-1.760729,0
163,-1.818696,0
164,-2.677157,0
165,-0.989428,0
166,-1.673701,0
167,-2.584394,0
168,-3.199328,0
169,0.883151,0
170,-3.661495,0
171,-0.085118,0
172,-2.13501,0
173,-0.224639,0
174,0.881744,1
175,-2.23328,0
176,-2.614907,0
177,-0.401995,1
178,-2.088293,0
179,-1.483697,0
180,-0.246067,0
181,-1.69249,0
182,-0.930673,0
183,0.488729,1
184,0.439646,1
185,0.2262,1
186,1.537262,0
187,-2.294091,0
188,2.584314,1
189,-1.836936,1
190,0.046309,0
191,-1.153369,0
192,-1.358876,0
193,-0.783193,0
194,-0.618007,0
195,-1.731398,0
196,1.998947,0
197,0.813894,1
198,-1.292746,0
199,-0.608774,0
200,-0.920841,0
201,-0.772603,0
202,-0.266076,0
203,-2.354505,0
204,-2.988531,0
205,-4.264195,0
206,-3.001229,0
207,-2.163394,0
208,-0.697598,0
209,-0.13049,0
210,-0.347941,0
211,-0.534252,0
212,-0.732127,0
213,-1.976063,0
214,1.620062,1
215,-0.890079,1
216,1.31365,1
217,1.15645,1
218,-1.624532,0
219,-2.002707,0
220,-2.450186,0
221,-1.187416,0
222,-1.847635,0
223,-1.289251,1
224,-1.416318,0
225,-2.50262,0
226,-3.592123,0
227,-0.407054,1
228,-2.118699,0
229,-1.682104,0
230,-1.744298,0
231,-0.038429,0
232,-0.437214,0
233,-3.679762,0
234,-2.259673,0
235,-3.757163,0
236,-1.38423,0
237,-1.374617,0
238,-2.217842,0
239,-1.483024,1
240,1.010528,1
241,-0.502134,0
242,-0.284002,0
243,-0.222714,0
244,-1.599706,1
245,-2.815205,0
246,-0.766256,0
247,-2.439497,0
248,-1.097684,0
249,-0.296441,0
250,-1.749202,0
251,-2.729827,0
252,-2.554121,0
253,-2.708983,0
254,-0.570486,0
255,1.59502,1
256,-3.77639,0
257,-1.290545,1
258,-0.126651,0
259,-4.009952,0
260,-0.45228,0
261,0.704034,0
262,-1.398996,0
263,-2.401177,1
264,-0.941974,0
265,0.897248,0
266,2.033047,1
267,-1.223847,0
268,-0.996936,0
269,-0.919672,0
270,-1.032213,1
271,-1.081298,0
272,-1.894656,0
273,-2.508882,0
274,-0.330739,0
275,-1.661981,0
276,0.744902,0
277,-2.308619,0
278,0.578375,0
279,-2.406248,0
280,2.188948,0
281,-0.994559,1
282,-0.358238,1
283,-2.07776,1
284,-2.460691,1
285,-1.323786,1
286,-4.697643,0
287,-1.898137,0
288,-1.905187,0
289,0.085785,0
290,-1.265794,0
291,-1.270118,1
292,-3.879554,0
293,-0.54106,0
294,-2.317919,0
295,-1.066546,0
296,1.932466,0
297,-0.75538,1
298,-0.225421,0
299,-0.866434,0
300,1.111763,1
301,-1.537532,0
302,-0.783884,0
303,-2.219336,0
304,-0.947044,0
305,0.192731,0
306,-2.847935,0
307,-1.101979,0
308,-1.032151,1
309,-2.562341,0
310,-3.317314,0
311,0.872748,1
312,-3.748305,0
313,-2.269952,0
314,-0.602259,0
315,-0.281636,0
316,-1.534006,1
317,-2.715035,1
318,-0.303795,1
319,-0.513347,0
320,-2.146507,0
321,-2.933043,0
322,-0.174266,0
323,-0.260477,0
324,-0.168409,1
325,0.426523,0
326,-1.100178,1
327,-0.873124,0
328,0.693104,0
329,-1.760458,0
330,-0.254884,0
331,-0.284961,0
332,-1.836144,0
333,-3.460428,0
334,-0.452773,0
335,-0.78165,0
336,-1.605275,0
337,-0.03457,0
338,-2.020819,0
339,-2.041357,0
340,0.172627,0
341,-0.284094,0
342,-1.30201,0
343,-2.645407,0
344,-1.344717,0
345,-1.056122,0
346,-3.52389,0
347,-0.482701,1
348,-2.013208,0
349,-1.306608,0
350,-3.471432,0
351,0.75743,1
352,1.263674,1
353,-0.956148,1
354,0.842309,0
355,-1.701814,0
356,1.116866,0
357,1.059023,1
358,-4.814332,0
359,0.820937,0
360,0.960671,0
361,-0.554187,1
362,-1.384706,0
363,-0.208222,1
364,-2.582185,0
365,-3.206523,0
366,0.511687,0
367,-0.763032,0
368,-1.650152,0
369,-1.962669,0
370,-0.568096,0
371,-2.346851,0
372,2.597717,1
