cluster,weight,outcome
1,10.0,0
1,10.0,1
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,1
1,10.0,0
1,10.0,1
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,1
1,10.0,1
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,1
1,10.0,1
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,1
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,0
1,10.0,1
2,10.0,0
2,10.0,1
2,10.0,0
2,10.0,0
2,10.0,0
2,10.0,0
2,10.0,0
2,10.0,0
2,10.0,0
2,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,1
3,10.0,0
3,10.0,1
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,1
3,10.0,0
3,10.0,0
3,10.0,1
3,10.0,1
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,1
3,10.0,0
3,10.0,1
3,10.0,0
3,10.0,0
3,10.0,0
3,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,1
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
4,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,1
5,10.0,0
5,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,1
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,1
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
6,10.0,0
7,10.0,1
7,10.0,1
7,10.0,0
7,10.0,1
7,10.0,0
7,10.0,1
7,10.0,0
7,10.0,0
7,10.0,0
7,10.0,1
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,1
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,1
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,1
8,10.0,1
8,10.0,0
8,10.0,0
8,10.0,0
8,10.0,0
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,1
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
9,10.0,0
9,10.0,0
9,10.0,1
9,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,1
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,1
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,0
10,10.0,1
11,10.0,0
11,10.0,0
11,10.0,0
11,10.0,0
11,10.0,0
11,10.0,1
11,10.0,1
11,10.0,1
11,10.0,1
11,10.0,1
12,10.0,1
12,10.0,0
12,10.0,0
12,10.0,0
12,10.0,0
12,10.0,0
12,10.0,0
12,10.0,0
12,10.0,1
12,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,1
13,10.0,1
13,10.0,0
13,10.0,0
13,10.0,1
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,1
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,0
13,10.0,1
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,0
14,10.0,1
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,0
15,10.0,1
15,10.0,1
15,10.0,0
