month,post,months_since,intervention_rate,control_rate
1,0,0,51.413162,46.583807
2,0,0,51.251103,46.770328
3,0,0,50.179155,46.388515
4,0,0,49.86227,45.312091
5,0,0,48.86022,45.26383
6,0,0,49.256349,45.986304
7,0,0,51.15515,46.92158
8,0,0,50.746165,47.293913
9,0,0,52.047342,47.992942
10,0,0,50.960649,46.285695
11,0,0,50.159939,45.754028
12,0,0,52.544392,47.892394
13,0,0,52.101868,47.540487
14,0,0,51.248442,46.310753
15,0,0,52.916747,47.433856
16,0,0,53.525456,48.354092
17,0,0,55.326974,50.260022
18,0,0,55.001411,49.82823
19,0,0,52.297548,49.053017
20,0,0,51.016073,48.656386
21,0,0,51.944261,47.542841
22,0,0,53.34797,49.543923
23,0,0,55.651877,52.443276
24,0,0,53.02999,49.648549
25,0,0,54.829146,50.58273
26,0,0,55.961227,52.528872
27,0,0,55.452472,52.384366
28,0,0,54.232086,51.260017
29,0,0,53.632719,51.036919
30,0,0,54.873794,51.70136
31,0,0,55.722775,51.296464
32,0,0,56.953136,52.872793
33,0,0,57.931244,54.334793
34,0,0,58.212697,55.049104
35,0,0,54.496774,52.232492
36,0,0,57.595373,53.654382
37,1,1,50.227779,51.650216
38,1,2,51.990314,51.802172
39,1,3,51.636074,52.915972
40,1,4,51.263397,54.244452
41,1,5,49.743901,52.826124
42,1,6,48.635715,51.4793
43,1,7,49.284293,52.269248
44,1,8,50.983497,54.234585
45,1,9,52.341281,55.307147
46,1,10,50.134197,54.037553
47,1,11,50.850806,55.3415
48,1,12,49.465986,54.903048
49,1,13,48.753585,53.449022
50,1,14,50.797843,55.743683
51,1,15,50.438167,55.956075
52,1,16,49.984508,56.161389
53,1,17,51.081162,57.548544
54,1,18,50.976571,57.660623
55,1,19,48.657798,55.249188
56,1,20,50.708135,57.96473
57,1,21,47.914866,55.916519
58,1,22,50.425725,58.58574
59,1,23,48.961412,57.784015
60,1,24,49.059183,57.892924
