id,treated,x,y
1,0,0.873936,
2,1,0.985879,
3,1,0.798133,
4,1,-1.250517,6.738243
5,1,-1.004666,7.901766
6,1,-0.399716,8.784079
7,0,0.089157,11.768944
8,1,-0.015826,
9,0,-0.777686,6.966634
10,0,0.147965,11.7312
11,1,1.470591,
12,0,0.067406,10.181686
13,0,0.375328,11.768026
14,1,1.708403,
15,1,0.105686,7.33783
16,0,0.570863,
17,0,-0.227823,9.349673
18,0,-1.127597,7.281999
19,1,-1.406208,8.262883
20,1,0.458438,
21,0,-0.154083,
22,1,-0.284913,10.439406
23,1,0.80715,
24,0,-0.381327,7.686988
25,0,-0.083273,12.241839
26,1,-1.375973,6.807214
27,0,-0.52983,8.633427
28,1,0.200942,
29,0,-0.625563,7.212769
30,0,-1.009961,9.343797
31,0,1.293749,
32,0,-0.613094,9.257977
33,0,-1.227584,7.13853
34,0,0.153611,9.751238
35,1,0.521278,12.396911
36,1,1.006966,
37,1,-1.523387,8.741083
38,1,0.042873,11.192129
39,1,-0.877805,4.912668
40,0,2.097825,
41,1,2.240907,
42,0,-0.774933,6.660159
43,1,-0.973314,7.545836
44,1,0.575349,
45,1,0.953601,15.679338
46,1,-0.753524,
47,1,1.079381,
48,1,1.615573,
49,0,-0.291703,8.607641
50,0,0.490904,12.925286
51,0,-0.534699,10.263839
52,1,0.803841,15.499354
53,0,-1.811242,3.801959
54,1,-1.392831,8.806068
55,0,0.221423,8.714642
56,1,1.278832,13.230759
57,0,-1.018904,4.923647
58,1,0.247653,12.913499
59,0,-1.722918,6.41936
60,0,0.581377,
61,1,0.129647,13.290969
62,1,0.5028,
63,1,2.526932,
64,0,0.38695,
65,0,-0.438976,
66,0,0.731719,12.287578
67,1,1.152644,
68,1,-0.035135,12.226275
69,0,-0.25801,8.37309
70,0,-0.200151,9.086931
71,1,-0.042288,12.275803
72,0,-0.168812,9.546373
73,1,-0.688806,9.339455
74,0,-0.661785,10.678807
75,1,0.787507,
76,1,0.10068,10.403397
77,1,-0.155919,10.422258
78,0,-0.511861,6.855728
79,1,0.829336,
80,0,0.680748,
81,0,-0.825597,5.681845
82,1,0.317155,11.708969
83,0,0.3371,11.101437
84,1,-0.426754,10.953982
85,0,-1.830936,2.340292
86,1,-1.334091,8.297145
87,0,0.441799,10.41652
88,0,-0.050999,9.627645
89,1,-0.522509,
90,1,-0.71411,
91,0,0.999474,13.019541
92,1,0.008756,11.596576
93,0,1.525052,16.579725
94,1,-2.388207,5.912139
95,0,0.049244,9.504416
96,0,2.836366,
97,0,0.564777,
98,1,0.916903,
99,1,1.329527,
100,0,-0.400308,7.948591
101,1,-1.343932,7.398174
102,0,0.711145,
103,1,-0.620246,9.103075
104,1,-0.309765,9.563413
105,1,-0.724932,8.507175
106,0,0.970052,
107,1,0.636473,
108,1,1.615938,
109,0,-3.049171,0.473376
110,1,0.098558,11.474573
111,0,2.071381,
112,1,0.584457,
113,1,-0.211681,10.576658
114,0,0.295258,
115,0,1.36236,15.270627
116,0,1.156434,
117,1,0.595089,
118,1,-1.935262,4.075879
119,1,0.463586,11.47262
120,0,0.982054,11.551086
121,0,-0.580954,11.754302
122,0,-0.989407,7.936386
123,1,-0.485685,12.160199
124,1,1.979334,
125,0,-0.871895,5.383884
126,0,0.052147,8.74711
127,0,-0.528419,9.05388
128,0,0.164672,9.58187
129,0,-0.050473,11.248631
130,0,-0.256955,8.829109
131,0,0.86326,14.787716
132,1,-0.327237,11.10871
133,0,-0.639661,7.175736
134,0,-0.151045,10.790864
135,0,-0.428346,
136,0,0.583305,
137,0,2.049658,
138,1,0.365552,
139,1,1.69459,
140,0,0.094735,10.906762
141,0,0.659689,
142,0,1.305496,13.561706
143,0,-0.339772,9.949525
144,1,2.308064,
145,1,-0.141205,
146,1,-1.156194,6.065105
147,0,0.789084,10.994382
148,1,2.198729,
149,1,-1.015173,10.073678
150,1,-0.470687,10.211351
151,0,-0.093327,10.53602
152,0,0.175111,10.911262
153,1,-1.438507,9.139668
154,1,-0.318003,
155,0,-0.339632,9.320103
156,0,0.261998,12.669955
157,0,1.843638,
158,1,0.496482,
159,1,-0.019563,
160,0,1.825531,
161,1,-0.265187,11.485986
162,0,-1.650356,4.874934
163,1,0.649221,
164,0,0.513792,11.394779
165,0,-0.270558,9.95102
166,1,0.76461,
167,0,1.61487,
168,0,2.243356,
169,1,0.530851,
170,0,-1.254566,7.025105
171,0,1.00234,
172,1,-0.19015,11.171361
173,1,0.958827,
174,1,1.57178,
175,1,0.012508,11.406947
176,0,-0.149792,11.527902
177,0,0.726372,
178,0,-0.525895,11.001718
179,1,0.779765,
180,0,2.177571,
181,0,-0.906747,5.239005
182,1,0.144947,
183,0,-1.699021,6.594602
184,0,1.477354,
185,0,1.894548,
186,0,-0.157812,10.978788
187,0,-1.419178,4.999878
188,0,0.149392,
189,0,0.63027,
190,1,-1.069743,10.482407
191,0,0.523842,
192,0,1.587766,13.703034
193,1,0.319256,12.124092
194,0,-0.809282,9.410341
195,0,-1.321056,4.727962
196,0,0.521942,10.696204
197,0,0.22328,10.119608
198,0,-1.090064,8.306968
199,1,0.409784,
200,0,2.143748,
201,1,-0.994204,10.298651
202,0,-0.406062,7.500202
203,0,-1.208516,7.336398
204,0,-0.0965,10.464077
205,0,-0.251486,7.913738
206,0,1.001687,11.30525
207,0,-1.454494,5.027299
208,0,0.881595,
209,0,1.791947,
210,0,-0.695432,10.031861
211,1,-0.623104,11.71171
212,1,-0.462462,12.298161
213,1,0.192202,
214,0,0.203382,9.539373
215,0,0.761772,13.874584
216,1,0.792206,
217,1,-0.044926,
218,0,0.770632,
219,0,0.202185,9.620131
220,0,-1.329671,6.19436
221,1,0.39797,
222,0,-2.132436,2.454369
223,0,-1.818591,
224,1,-0.596003,9.937205
225,1,0.386108,
226,1,-0.143443,
227,0,-0.678837,
228,0,0.501837,
229,0,-1.664805,4.279905
230,1,0.870874,12.284911
231,1,0.839285,14.565241
232,1,0.330856,11.724915
233,1,-1.211977,4.702446
234,0,0.016975,10.567721
235,0,-0.777912,6.356467
236,0,-0.567311,7.556653
237,0,1.447879,
238,1,-0.131948,11.804092
239,1,-1.935067,4.576173
240,1,-1.092636,7.53397
241,0,0.083046,9.429093
242,1,0.931163,
243,0,0.989684,10.944364
244,1,-0.973515,6.686237
245,1,-1.733043,5.840819
246,0,-0.686385,8.981791
247,0,1.015815,
248,0,-0.177188,12.302295
249,1,-0.012069,11.458127
250,0,0.136277,10.626501
251,1,-0.702804,4.832608
252,0,-1.062963,5.982477
253,1,-0.600558,
254,1,-2.029472,4.907598
255,1,-1.66874,4.699718
256,0,0.62258,13.981333
257,0,0.809007,11.60129
258,1,-1.053474,8.887358
259,0,-0.293479,10.775503
260,0,0.309989,9.008899
261,0,1.07018,
262,0,0.417073,10.942637
263,1,-1.503629,7.350012
264,0,-0.678603,8.50526
265,0,-0.561567,9.760086
266,1,0.596789,
267,1,0.78426,
268,1,-0.613292,9.658374
269,1,0.417756,10.340377
270,0,0.261789,
271,0,1.175776,12.050369
272,0,-0.033556,10.938272
273,0,-0.709401,8.520126
274,1,-0.280605,
275,0,-1.01811,9.381304
276,0,0.362367,12.546517
277,1,-0.574852,11.578828
278,0,-1.530935,5.199457
279,1,0.979097,
280,1,0.476515,
281,0,-0.190738,9.526017
282,1,0.854871,13.550439
283,1,-1.217029,5.046555
284,1,1.151371,
285,1,0.302881,14.044927
286,1,-0.147154,12.441638
287,1,-1.011375,
288,1,0.752631,
289,1,1.212973,
290,0,0.011284,
291,1,0.434345,
292,0,0.573118,
293,0,-1.159705,5.503551
294,1,1.124371,
295,1,-0.417019,10.561684
296,0,-0.992897,7.476356
297,1,-0.439913,9.224794
298,0,-0.674983,7.720393
299,0,-0.346454,7.576418
300,0,0.388936,12.011535
301,1,1.343377,15.083812
302,0,1.048373,
303,1,0.524198,12.377047
304,0,-1.257673,6.237452
305,0,-0.370217,8.789394
306,0,-0.492212,
307,1,0.22324,
308,1,-0.637024,8.645666
309,1,3.057475,
310,0,-0.508764,5.369662
311,0,-0.613407,8.25953
312,0,-1.275419,5.054547
313,1,-0.424484,
314,0,0.646997,11.708597
315,0,-3.181071,0.43305
316,0,-0.095071,10.498956
317,0,0.688827,
318,1,0.738325,13.588958
319,0,0.197947,11.581448
320,0,1.680241,
321,0,-1.759972,3.358
322,0,0.059036,9.984132
323,0,-0.784198,5.001496
324,0,1.678623,
325,1,-0.5113,
326,1,0.217953,
327,1,-0.114775,10.235985
328,1,-1.779467,8.328597
329,0,0.542467,8.910879
330,0,-0.553804,10.797298
331,0,-0.423577,9.761681
332,1,0.376726,
333,1,-1.16735,6.753066
334,1,0.279542,
335,1,0.83898,12.15781
336,0,0.773746,
337,1,0.496456,
338,1,-0.464554,9.490808
339,0,-1.34264,5.613362
340,0,-0.418544,5.949079
341,1,-0.675455,8.369813
342,0,-0.868166,5.024049
343,1,-1.079256,6.234382
344,1,0.142507,14.476269
345,1,-0.942715,11.749919
346,0,2.018566,
347,1,1.086469,
348,1,0.937119,
349,0,-0.525722,
350,1,-0.249314,
351,1,-1.08812,7.178913
352,1,0.536287,
353,1,-0.275125,12.369978
354,0,-0.533488,11.066183
355,0,0.459395,
356,0,-0.185971,
357,1,-1.547299,
358,0,-0.005064,11.702218
359,0,-0.527698,9.249309
360,0,0.382995,11.165204
361,0,-0.797401,9.359962
362,0,0.260042,7.341209
363,1,0.200771,
364,1,0.866129,
365,0,-1.49427,3.974693
366,1,-1.713231,7.311913
367,1,1.408737,
368,0,0.500784,12.861327
369,1,-1.291875,7.696605
370,0,-0.262684,8.763439
371,1,0.254241,
372,0,2.15153,
373,1,0.851044,
374,0,-0.423593,8.154728
375,0,0.777874,10.873305
376,1,0.482606,14.188357
377,0,-0.753237,6.624322
378,1,-1.563452,
379,1,-0.219421,10.948132
380,1,0.448536,11.326605
381,0,0.571389,
382,1,-0.674079,11.281959
383,1,-0.03928,
384,0,-1.38287,4.830164
385,0,1.4608,14.133715
386,0,0.798303,
387,1,-0.151803,
388,1,-1.946293,4.603758
389,0,-0.594835,9.231243
390,0,0.932528,11.527704
391,1,1.023925,
392,1,-1.563031,6.815604
393,0,-1.894113,5.308817
394,1,0.793085,12.495961
395,1,-0.59472,8.844798
396,0,-1.254027,5.190012
397,1,-0.826364,8.325954
398,0,-1.185808,6.315892
399,0,1.293777,
400,0,1.625503,15.798626
401,0,0.326257,8.957612
402,1,-0.477289,8.713739
403,1,-1.29975,8.6753
404,0,-2.005249,6.609973
405,0,0.16954,11.712113
406,1,2.022428,
407,0,0.102831,10.967794
408,1,-1.336214,5.990501
409,0,-0.488599,8.289936
410,1,1.411945,
411,1,-1.441828,5.585688
412,1,-0.313355,
413,1,-0.876675,10.75062
414,0,1.301271,16.221548
415,1,-0.405763,7.109203
416,1,0.244047,
417,0,2.458865,
418,1,-1.70549,4.302917
419,0,0.202541,10.0206
420,0,-0.375813,7.154039
421,1,1.015632,
422,0,-0.098972,10.276657
423,0,-0.160991,
424,1,-0.420289,
425,1,0.510141,12.645844
426,1,-0.436276,10.763074
427,0,0.84475,11.358738
428,1,-0.688389,13.514864
429,1,-1.018648,
430,1,-2.712451,2.929286
431,1,-1.677047,7.569092
432,0,0.832777,
433,0,2.124018,16.109422
434,0,0.98653,12.247079
435,1,-0.342392,10.064623
436,1,0.377248,10.358251
437,1,0.970154,
438,0,0.03676,
439,0,0.094677,12.787974
440,1,1.095291,
441,0,0.246621,9.930331
442,1,0.193198,11.385795
443,0,0.381829,12.31519
444,1,-0.563809,
445,1,-0.076342,12.185162
446,0,0.333033,12.304751
447,0,-1.320455,5.318599
448,1,-0.465814,
449,1,1.636918,
450,0,-0.261411,11.197774
451,1,0.857888,
452,1,0.703157,15.57755
453,1,0.432136,
454,1,0.161782,11.039116
455,1,-1.142669,7.976212
456,0,-1.799412,3.751306
457,0,0.653389,12.45564
458,1,1.080508,
459,1,-1.09089,9.403324
460,0,0.650739,
461,0,0.603103,
462,0,-0.393664,9.409334
463,1,0.947712,
464,1,0.876085,
465,0,0.285401,
466,1,-0.130301,
467,1,0.144111,
468,1,0.430389,14.424457
469,1,-1.391884,6.064508
470,1,-0.122555,10.930758
471,1,0.846736,
472,0,-0.35438,
473,0,0.814758,
474,1,1.504645,
475,0,0.994859,14.214697
476,0,0.713407,12.510289
477,1,-1.101007,8.748579
478,0,-0.614885,6.985473
479,0,-0.820308,7.359464
480,1,-0.927473,10.150941
481,0,0.522643,14.31828
482,1,1.619452,
483,1,-1.701021,6.838488
484,0,-1.946618,3.753805
485,0,-1.109404,7.284939
486,0,1.142062,12.020546
487,0,-0.219195,
488,1,0.034403,
489,1,-0.0092,
490,1,-0.824531,8.746511
491,1,1.757824,
492,0,-1.660762,4.405541
493,1,-0.418059,
494,0,1.348572,
495,1,-0.271012,
496,1,0.497791,11.045803
497,1,-0.094031,11.804
498,0,1.499573,
499,1,0.524756,14.095877
500,0,-0.878634,6.964069
501,1,0.70827,
502,0,-1.335451,3.730617
503,1,-0.411215,9.869601
504,0,0.97971,
505,0,-2.022856,5.018171
506,1,-0.336579,12.815998
507,0,-1.237464,4.165112
508,1,2.33141,16.396486
509,1,-1.098376,7.680549
510,0,0.931943,
511,0,0.718958,11.848359
512,1,-1.512175,9.407169
513,0,1.007905,
514,1,1.064885,
515,0,0.202747,10.603494
516,1,0.333113,
517,0,-0.524456,7.2515
518,1,-0.755728,7.312944
519,0,-0.209884,6.725262
520,1,0.161848,
521,0,-1.166558,6.277788
522,0,-0.61685,9.805436
523,0,-0.293716,11.799173
524,1,0.406767,
525,1,-0.918675,9.222411
526,1,1.792001,
527,0,-0.070675,
528,1,-1.498438,7.092241
529,1,1.050366,
530,1,0.212275,
531,0,-1.610548,7.527269
532,1,0.316536,
533,0,0.34423,9.949084
534,1,-1.793847,5.013872
535,0,-0.33393,9.001302
536,0,-1.918522,3.587432
537,0,-1.29081,8.256579
538,1,-2.029685,4.615042
539,0,0.070089,
540,0,-0.143554,9.648897
541,1,-1.068955,10.191945
542,0,0.326482,12.808711
543,1,-0.165297,11.757569
544,1,-0.552142,12.474463
545,1,0.159239,
546,1,0.158504,10.941094
547,0,-0.162851,10.609655
548,1,0.476729,
549,1,-0.221534,10.659272
550,1,0.748966,
551,0,-0.732337,
552,1,-0.393706,11.294883
553,1,-1.354715,7.160307
554,1,0.535176,15.477575
555,0,-1.526406,6.583527
556,0,0.309596,11.151731
557,1,-1.545325,
558,1,0.702481,14.154372
559,1,1.009786,14.698654
560,0,2.488892,
561,0,0.278708,
562,1,1.020553,
563,0,-0.145278,12.086318
564,1,-1.04156,8.377571
565,1,-0.754954,9.714829
566,1,-0.135789,10.758486
567,0,-1.193833,7.318472
568,1,-0.741332,8.954069
569,1,1.237072,
570,0,0.929666,
571,1,0.166477,10.161566
572,1,-0.233958,
573,1,-0.263685,13.046392
574,0,0.770862,13.15091
575,1,-0.502074,7.575985
576,0,-0.542739,
577,1,0.352439,10.495996
578,1,1.196847,
579,1,-0.01191,
580,1,-0.696049,
581,1,0.18698,9.148097
582,1,2.345386,
583,0,-0.121373,9.319971
584,0,0.535629,9.369252
585,1,0.622997,
586,0,0.874955,
587,1,1.38256,
588,1,0.084729,10.963637
589,0,0.463056,
590,1,-0.171299,
591,1,-1.232594,7.920834
592,0,1.003854,13.274357
593,1,-0.558735,9.282801
594,0,-0.77816,6.392538
595,1,-0.477352,10.388378
596,0,0.264245,10.683772
597,0,1.136528,
598,0,1.102885,13.60547
599,1,0.172013,10.002448
600,1,-0.274908,10.821234
601,1,1.093236,
602,0,1.434395,11.325813
603,1,2.16596,16.98381
604,1,1.411101,
605,0,-0.858877,
606,0,-0.671028,6.290789
607,0,-0.975663,
608,1,-1.648477,7.540054
609,0,0.691454,
610,0,0.467979,10.576071
611,1,0.368873,13.101239
612,1,0.476954,12.835949
613,0,2.260116,
614,0,-0.221042,10.583716
615,1,0.034259,13.869243
616,0,-0.249812,
617,0,1.500588,15.541841
618,1,-1.005362,5.012243
619,1,0.988553,
620,1,0.342068,
621,0,1.222121,
622,0,-0.495607,
623,0,-0.00038,
624,0,-1.786865,5.123212
625,1,-1.478137,4.487159
626,0,0.191929,7.914408
627,1,-1.038995,
628,0,-0.494688,8.592183
629,1,-0.901946,8.309808
630,0,-0.750781,9.430822
631,1,-0.23678,13.904695
632,1,-1.914561,7.947234
633,0,0.556976,
634,1,1.904875,
635,0,0.422462,10.830726
636,0,1.685181,
637,0,-0.368053,11.94728
638,1,0.000179,10.160121
639,0,-0.660751,8.177482
640,1,0.761898,
641,1,0.840245,
642,1,-0.486863,9.188592
643,1,-0.708761,7.800083
644,1,1.15979,
645,0,1.568321,
646,0,-1.5665,4.756286
647,1,-1.35014,10.299682
648,1,-0.568396,10.507637
649,0,0.995405,14.064493
650,1,-0.227254,11.404695
651,0,-0.07285,11.097437
652,1,-1.931461,3.58922
653,1,-0.660421,9.009792
654,0,-1.964604,1.109475
655,1,1.002197,
656,1,1.1479,
657,0,0.938107,
658,0,-1.268565,5.741206
659,0,0.242185,9.39921
660,1,-0.023245,11.262259
661,1,-0.895626,5.985401
662,0,-0.816585,6.676687
663,0,-0.257888,10.586058
664,0,-1.252539,6.652824
665,1,0.29676,10.122127
666,0,0.813867,14.514792
667,1,-0.317348,9.64424
668,1,-0.270129,8.378687
669,0,-1.079272,
670,0,0.181393,13.744042
671,1,-0.356275,11.117447
672,1,-2.67387,5.060648
673,0,-1.416274,4.462882
674,1,-1.795995,6.089454
675,1,0.624974,
676,1,0.549545,
677,0,0.305998,8.628002
678,0,1.260897,14.786095
679,0,1.156879,12.019197
680,0,0.41621,
681,1,0.046592,12.550464
682,0,-0.124775,
683,1,0.265325,
684,1,1.145673,
685,0,1.110353,11.512748
686,0,-0.853719,3.996745
687,0,-1.161673,6.972912
