hospital,quarter,adopter,post,policy,los
1,1,1,0,0,8.739858
1,2,1,0,0,9.520389
1,3,1,0,0,10.92085
1,4,1,0,0,8.931701
1,5,1,1,1,11.93551
1,6,1,1,1,9.906486
1,7,1,1,1,10.133768
1,8,1,1,1,11.003876
2,1,1,0,0,9.452968
2,2,1,0,0,10.344973
2,3,1,0,0,10.159092
2,4,1,0,0,11.113412
2,5,1,1,1,9.958641
2,6,1,1,1,10.278235
2,7,1,1,1,10.438367
2,8,1,1,1,9.914674
3,1,1,0,0,11.393265
3,2,1,0,0,13.240533
3,3,1,0,0,11.839594
3,4,1,0,0,11.601114
3,5,1,1,1,11.872893
3,6,1,1,1,11.487347
3,7,1,1,1,10.764086
3,8,1,1,1,13.87837
4,1,1,0,0,6.507355
4,2,1,0,0,7.78916
4,3,1,0,0,9.307767
4,4,1,0,0,10.121149
4,5,1,1,1,8.703578
4,6,1,1,1,8.899948
4,7,1,1,1,9.315251
4,8,1,1,1,10.064284
5,1,1,0,0,8.236127
5,2,1,0,0,8.1764
5,3,1,0,0,8.940879
5,4,1,0,0,10.317071
5,5,1,1,1,8.539135
5,6,1,1,1,7.837231
5,7,1,1,1,8.273787
5,8,1,1,1,9.876532
6,1,1,0,0,11.890638
6,2,1,0,0,12.197384
6,3,1,0,0,11.388637
6,4,1,0,0,12.405352
6,5,1,1,1,12.545234
6,6,1,1,1,12.616937
6,7,1,1,1,12.869566
6,8,1,1,1,13.023959
7,1,1,0,0,8.233268
7,2,1,0,0,7.059806
7,3,1,0,0,9.126543
7,4,1,0,0,9.184586
7,5,1,1,1,9.24437
7,6,1,1,1,8.266733
7,7,1,1,1,8.988352
7,8,1,1,1,9.679432
8,1,1,0,0,10.498933
8,2,1,0,0,9.733258
8,3,1,0,0,11.446752
8,4,1,0,0,10.718149
8,5,1,1,1,9.095987
8,6,1,1,1,9.668302
8,7,1,1,1,10.619282
8,8,1,1,1,12.562036
9,1,1,0,0,7.356021
9,2,1,0,0,8.35249
9,3,1,0,0,6.136259
9,4,1,0,0,9.338236
9,5,1,1,1,7.747982
9,6,1,1,1,7.388033
9,7,1,1,1,8.875696
9,8,1,1,1,8.56982
10,1,1,0,0,7.883169
10,2,1,0,0,8.573245
