id,exposed,outcome
1,1,1
2,1,1
3,1,0
4,1,1
5,1,0
6,1,0
7,1,0
8,1,1
9,1,1
10,1,0
11,1,0
12,1,0
13,1,0
14,1,1
15,1,0
16,1,1
17,1,1
18,1,1
19,1,1
20,1,0
21,1,1
22,1,1
23,1,1
24,1,0
25,1,1
26,1,1
27,1,0
28,1,0
29,1,1
30,1,1
31,1,1
32,1,1
33,1,0
34,1,1
35,1,0
36,1,1
37,1,1
38,1,0
39,1,1
40,1,0
41,1,0
42,1,1
43,1,1
44,1,1
45,1,1
46,1,0
47,1,0
48,1,1
49,1,0
50,1,0
51,1,0
52,1,1
53,1,1
54,1,0
55,1,1
56,1,1
57,1,0
58,1,1
59,1,0
60,1,1
61,1,1
62,1,0
63,1,1
64,1,0
65,1,0
66,1,0
67,1,1
68,1,1
69,1,0
70,1,0
71,1,0
72,1,1
73,1,1
74,1,0
75,1,1
76,1,0
77,1,1
78,1,1
79,1,0
80,1,0
81,1,0
82,1,1
83,1,1
84,1,1
85,1,1
86,1,0
87,1,0
88,1,1
89,1,0
90,1,0
91,1,1
92,1,0
93,1,1
94,1,0
95,1,0
96,1,1
97,1,0
98,1,0
99,1,1
100,1,1
101,1,0
102,1,0
103,1,0
104,1,1
105,1,1
106,1,0
107,1,0
108,1,0
109,1,0
110,1,1
111,1,1
112,1,0
113,1,1
114,1,0
115,1,0
116,1,0
117,1,0
118,1,1
119,1,1
120,1,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,1
130,0,1
131,0,0
132,0,0
133,0,1
134,0,0
135,0,0
136,0,0
137,0,1
138,0,1
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,1
145,0,0
146,0,0
147,0,1
148,0,0
149,0,1
150,0,1
151,0,1
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,1
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,1
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,1
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,1
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,1
224,0,0
225,0,1
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,1
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,1
239,0,0
240,0,0
