id,followup_years,events
1,0.5687,0
2,4.6114,0
3,1.1534,0
4,3.7758,1
5,2.1546,0
6,3.8816,0
7,4.7275,0
8,1.599,1
9,4.2809,1
10,2.6163,0
11,0.8398,0
12,2.7599,0
13,2.5674,0
14,4.8343,0
15,4.9664,1
16,3.012,0
17,3.4506,0
18,1.0311,0
19,1.2761,0
20,3.0918,0
21,4.3029,0
22,2.6931,0
23,4.7255,0
24,1.0737,0
25,0.5611,0
26,2.2006,0
27,4.7918,0
28,2.6836,0
29,4.1197,0
30,4.766,0
31,4.5096,0
32,0.5924,0
33,3.699,1
34,3.6394,0
35,2.1707,1
36,0.9319,0
37,1.4475,0
38,3.6959,0
39,1.0979,0
40,3.3313,1
41,4.079,0
42,2.7566,0
43,3.5102,0
44,0.9661,0
45,4.6616,0
46,0.756,0
47,0.5493,0
48,2.2094,0
49,2.4528,0
50,2.2399,0
51,1.2447,0
52,2.2371,0
53,4.9711,0
54,1.058,0
55,4.6102,1
56,4.9085,0
57,1.6451,0
58,2.4436,0
59,2.3382,0
60,0.5658,0
61,0.5603,0
62,3.2662,1
63,2.2104,0
64,1.7638,1
65,2.1247,0
66,4.5605,0
67,3.0877,1
68,1.9384,0
69,3.9378,0
70,0.955,0
71,2.1516,0
72,4.8445,0
73,4.6763,0
74,1.3633,0
75,2.9194,1
76,2.3285,0
77,3.7279,0
78,2.8783,0
79,3.6763,0
80,4.3918,2
81,4.8762,1
82,3.3331,0
83,4.2646,2
84,2.4442,1
85,4.4259,0
86,2.7477,0
87,2.3429,0
88,1.294,0
89,3.5339,1
90,2.233,0
91,4.2015,1
92,4.8601,0
93,2.7958,0
94,0.8382,0
95,2.7791,0
96,1.5486,0
97,1.5111,0
98,4.3748,1
99,1.3161,0
100,1.1694,1
101,4.2068,0
102,3.7422,0
103,2.6319,1
104,3.4971,0
105,3.3432,0
106,1.5749,1
107,3.0938,0
108,1.3932,0
109,3.3073,0
110,4.5736,1
111,0.57,0
112,1.4829,0
113,3.8001,0
114,1.802,0
115,2.5342,0
116,4.228,1
117,1.3885,0
118,0.5134,1
119,4.3789,0
120,1.7951,0
121,3.57,1
122,1.4847,0
123,2.118,0
124,4.6218,0
125,1.8942,1
126,1.748,0
127,1.0202,1
128,3.1767,0
129,3.4792,0
130,2.9179,0
131,4.2713,1
132,2.7662,0
133,2.9652,1
134,4.0188,1
135,4.6632,0
136,3.1468,0
137,3.0695,0
138,0.5542,0
139,2.8118,1
140,3.7664,0
141,4.0941,1
142,2.6501,0
143,4.578,0
144,4.1254,1
145,3.9561,1
146,1.846,0
147,3.233,0
148,4.3081,0
149,3.9331,0
150,2.1904,1
151,3.8885,0
152,1.2769,0
153,0.5942,0
154,4.4612,0
155,4.1352,0
156,3.4517,0
157,1.8226,0
158,1.613,0
159,2.1671,0
160,1.1028,0
161,3.3609,0
162,1.7905,0
163,2.2,0
164,0.7179,0
165,2.4029,1
166,2.4151,0
167,4.9122,1
168,3.2142,0
169,1.241,0
170,2.6495,0
171,1.4034,0
172,4.927,1
173,3.1541,0
174,1.2106,0
175,3.0545,0
176,3.7885,0
177,2.679,1
178,3.5141,0
179,4.0283,1
180,1.9009,0
181,1.6015,0
182,0.6595,0
183,1.9639,0
184,4.1893,0
185,2.6332,0
186,4.1267,0
187,3.6416,0
188,1.3432,1
189,4.9778,0
190,3.1811,0
191,4.3495,1
192,3.353,0
193,3.3249,0
194,0.6153,0
195,4.2327,2
196,1.5248,0
197,2.0377,0
198,2.8735,0
199,4.2613,0
200,4.0067,1
201,3.9461,0
202,4.6164,1
203,3.9222,1
204,1.4167,0
205,1.6773,0
206,4.6159,0
207,4.5829,0
208,1.0502,0
209,4.1672,0
210,4.6253,0
211,4.3985,2
212,4.7397,1
213,4.1453,0
214,2.7517,0
215,1.7233,0
216,2.5976,1
217,1.3697,0
218,3.2851,0
219,4.6456,0
220,3.6086,0
221,4.1331,0
222,2.277,0
223,2.0613,0
224,3.4859,0
225,3.0022,0
226,3.5984,0
227,0.9654,0
228,1.6803,0
229,2.6685,0
230,2.5896,0
231,1.3081,0
232,1.2497,0
233,1.9172,0
234,2.546,0
235,1.7836,0
236,3.2102,0
237,4.4683,0
238,3.1713,0
239,4.0858,0
240,1.1813,0
241,4.21,1
242,1.7584,0
243,2.9711,0
244,2.9898,1
245,2.731,1
246,2.1237,0
247,3.6977,0
248,4.8335,0
249,2.962,1
250,0.7205,0
251,1.648,1
252,2.2436,1
253,1.7433,0
254,3.3687,0
255,3.6315,0
256,4.2989,1
257,4.7611,0
258,1.6723,0
259,3.5565,0
260,1.524,0
261,1.6243,0
262,4.9549,0
263,4.2866,0
264,2.7674,0
265,0.7229,0
266,0.5867,0
267,2.3856,0
268,1.9402,0
269,4.9584,0
270,3.544,0
271,2.1015,1
272,3.674,0
273,2.2504,0
274,3.2666,1
275,1.6395,0
276,2.4906,1
277,2.6002,0
278,4.7726,1
279,4.8421,0
280,3.6651,0
281,4.5892,1
282,2.4634,0
283,1.2146,0
284,1.8882,0
285,4.3803,1
286,1.4057,0
287,4.1472,1
288,2.4272,0
289,2.948,0
290,1.3325,0
291,4.5306,1
292,3.9311,0
293,1.025,0
294,4.8782,0
295,3.3042,0
296,1.5939,0
297,2.5897,0
298,0.8129,0
299,2.5268,0
300,2.5847,0
301,1.3321,1
302,2.6655,0
303,3.0606,0
304,3.7151,0
305,2.2539,0
306,1.6149,0
307,4.3104,0
308,1.213,0
309,3.4446,0
310,4.6052,1
311,1.0004,0
312,0.8819,0
313,3.9438,0
314,2.2068,0
315,1.7533,1
316,3.5227,0
317,3.2053,0
318,4.1671,0
319,3.8052,1
320,2.6837,0
321,0.6017,0
322,2.3983,0
323,4.9603,1
324,3.8298,0
325,4.7261,0
326,2.7824,0
327,2.2033,0
328,4.2117,1
329,1.0384,0
330,4.3809,0
331,1.0267,0
332,1.8162,0
333,4.5182,0
334,3.9446,0
335,1.0127,0
336,4.2361,1
337,4.1176,0
338,2.6338,0
339,2.3703,0
