month,post,months_since,rate
1,0,0,49.577297
2,0,0,49.856878
3,0,0,50.44977
4,0,0,50.405205
5,0,0,50.45342
6,0,0,50.645075
7,0,0,51.169287
8,0,0,51.710745
9,0,0,51.65003
10,0,0,51.847943
11,0,0,52.178256
12,0,0,52.619782
13,0,0,53.094297
14,0,0,53.012145
15,0,0,53.324402
16,0,0,53.744346
17,0,0,53.422077
18,0,0,54.628444
19,0,0,53.558352
20,0,0,54.257554
21,0,0,55.370441
22,0,0,54.643727
23,0,0,54.748524
24,0,0,54.637975
25,0,0,54.437065
26,0,0,54.228088
27,0,0,55.04237
28,0,0,56.558589
29,0,0,56.864235
30,0,0,56.773045
31,0,0,55.938114
32,0,0,56.191048
33,0,0,57.810935
34,0,0,59.284312
35,0,0,58.717653
36,0,0,58.603545
37,1,1,54.661856
38,1,2,53.635898
39,1,3,53.014646
40,1,4,51.368631
41,1,5,50.082351
42,1,6,50.949903
43,1,7,52.016772
44,1,8,51.406006
45,1,9,51.863316
46,1,10,52.194255
47,1,11,51.813976
48,1,12,51.885611
49,1,13,51.806924
50,1,14,52.276271
51,1,15,51.441787
52,1,16,52.074901
53,1,17,51.855669
54,1,18,51.528136
55,1,19,51.310545
56,1,20,51.259897
57,1,21,51.521008
58,1,22,51.220186
59,1,23,51.327937
60,1,24,50.203324
61,1,25,50.979379
62,1,26,51.665153
63,1,27,50.930253
64,1,28,50.316433
65,1,29,50.688729
66,1,30,50.356526
67,1,31,50.181211
68,1,32,49.997375
69,1,33,49.424364
70,1,34,48.915984
71,1,35,48.88128
72,1,36,48.80004
