subject,rater_1,rater_2,rater_3,rater_4
1,48.417569,40.765638,50.046469,50.771888
2,60.208772,48.19433,67.521265,60.37402
3,33.387594,36.867213,38.016911,35.40869
4,56.745679,36.784315,45.763006,48.997112
5,48.560757,35.959903,50.505795,50.075668
6,57.531861,60.97538,60.473437,57.068453
7,49.100524,38.116922,47.585524,51.940903
8,61.69061,49.990421,55.451444,55.874713
9,46.153965,35.462133,43.207848,45.822512
10,42.448898,37.69497,46.977217,34.64353
11,65.357668,44.31561,64.432987,59.425245
12,49.620218,43.439478,51.475319,42.778985
13,44.3892,50.98198,55.919804,46.180317
14,41.834659,29.952002,45.256418,48.036115
15,68.820541,53.761532,76.050988,61.726642
16,46.241398,38.133488,43.69413,41.264293
17,47.579379,49.214614,54.380352,49.399453
18,51.373054,49.832098,52.942009,51.596085
19,44.826411,36.568062,50.467212,38.732065
20,49.837426,64.290063,61.676944,57.954082
21,41.627591,35.049154,43.32129,43.661633
22,43.353046,35.528617,44.577202,41.566949
23,41.133195,38.126959,41.892906,48.54463
24,49.696154,49.564771,60.250419,52.819871
25,53.456072,45.407185,56.48615,51.617043
26,43.567748,39.086209,42.419268,37.193278
27,45.841326,38.17954,54.282978,43.406339
28,48.392641,56.556248,53.543369,43.35665
29,64.766218,59.481214,48.352728,58.51603
30,63.525011,47.283647,61.824694,54.015326
31,36.053935,35.756794,36.799007,38.764447
32,50.740771,45.392033,49.741581,50.914586
33,50.226828,44.307292,52.945605,40.507984
34,41.726513,43.645842,49.630438,35.947816
35,61.400395,63.680675,69.291445,59.348979
36,42.949722,33.62132,39.472521,43.297002
37,50.255676,39.317149,52.341227,43.919864
38,53.400255,44.267174,59.219987,52.277847
39,54.957938,44.332359,56.922635,46.24735
40,44.845515,43.528468,49.210769,46.584054
41,49.58866,37.70804,48.873114,42.545227
42,58.688292,52.011874,63.551276,61.152401
43,43.627246,40.651362,47.752946,44.196992
44,48.716904,38.913609,42.178751,55.175978
45,49.73647,40.86244,49.949533,49.241817
46,38.179402,34.713463,43.040961,30.60983
47,55.23695,47.040951,56.86334,48.956044
48,63.877073,49.758837,53.874947,56.289532
49,54.614698,42.083486,54.063556,47.775251
50,54.45381,43.872679,62.540017,50.581013
51,34.469821,30.338977,42.08152,36.907396
52,39.155269,38.665077,46.914021,40.812023
53,36.879356,32.190421,43.879541,34.670647
54,58.14883,61.918949,73.586282,59.399164
55,66.641562,53.193316,62.591042,62.253253
56,53.317114,47.989736,51.329414,49.045231
57,48.99542,38.781818,52.294382,42.131192
58,53.825503,38.450115,55.277558,54.272364
59,42.910338,35.620349,43.906073,42.938906
60,51.34665,46.059102,51.998417,46.21962
