id,treated,l,event
1,1,0.756051,
2,0,0.123662,0
3,0,-0.325316,1
4,0,-0.515259,0
5,0,-0.537009,0
6,1,0.685062,
7,1,-1.521131,0
8,0,0.411725,0
9,1,-0.835377,0
10,1,-1.491572,0
11,1,0.330841,0
12,1,-0.4326,1
13,0,0.540977,0
14,0,0.998966,1
15,0,-2.157094,0
16,0,0.030974,
17,1,0.759361,0
18,0,0.994327,1
19,0,0.487655,0
20,0,0.093189,
21,1,0.811455,1
22,1,-0.124435,0
23,0,-0.240866,
24,1,0.66327,0
25,1,0.219914,1
26,1,0.671583,0
27,1,-0.20917,0
28,0,0.14908,0
29,1,-0.296705,0
30,0,-0.511043,0
31,0,1.094309,
32,1,0.308075,0
33,1,-0.243303,0
34,1,0.824153,1
35,1,1.343371,1
36,0,1.156724,
37,0,0.20944,
38,0,-0.196287,0
39,0,-0.070922,0
40,1,0.078285,0
41,1,-0.499116,0
42,1,1.118739,
43,1,0.769658,0
44,0,-0.35264,
45,0,0.268352,0
46,0,0.23362,0
47,0,-0.497717,0
48,0,-0.744403,0
49,0,-1.201412,1
50,1,-0.580562,0
51,1,-0.209136,0
52,1,-1.106045,0
53,1,0.247954,0
54,1,-0.496898,0
55,0,0.426182,0
56,1,-0.539462,0
57,1,0.669895,0
58,0,-0.277402,1
59,0,0.138139,0
60,0,-1.544529,0
61,1,-1.005374,0
62,0,0.222523,
63,0,0.490894,1
64,1,-0.246311,0
65,1,0.86122,0
66,0,0.252198,
67,0,2.026394,
68,1,0.591531,0
69,0,-0.055285,0
70,1,-1.083538,0
71,0,-0.845724,0
72,0,-0.907408,0
73,0,1.988454,
74,1,0.007622,0
75,1,0.91902,1
76,1,-0.681484,0
77,0,-2.341145,0
78,0,-0.404509,1
79,0,0.166758,0
80,1,0.391695,0
81,1,-0.961057,0
82,0,-0.596084,0
83,1,0.586665,
84,1,1.078143,0
85,0,-1.778253,0
86,1,1.287376,1
87,0,-2.625308,0
88,0,0.910519,0
89,1,-0.74879,0
90,0,1.332489,
91,1,0.32711,0
92,1,0.914847,0
93,1,-0.418174,0
94,1,-0.032962,0
95,0,0.6268,
96,1,-0.419928,0
97,1,0.631252,0
98,0,-0.605386,0
99,1,0.278497,
100,0,-0.161835,0
101,1,-0.051936,0
102,1,0.59706,0
103,1,2.197178,
104,1,-0.445098,0
105,0,-0.38711,1
106,0,-0.500688,1
107,0,-0.196993,0
108,1,-0.580338,0
109,1,1.658365,
110,1,1.47976,0
111,1,0.268428,0
112,1,-1.223243,0
113,0,0.724841,
114,0,1.250451,
115,1,1.166804,0
116,1,-0.083254,
117,0,-2.335865,0
118,1,0.007481,0
119,1,-0.649607,0
120,0,-0.28097,1
121,0,-1.069825,0
122,0,-0.155687,0
123,1,0.401957,
124,0,1.230869,1
125,0,0.407396,1
126,1,0.496253,
127,0,-0.339214,0
128,0,-0.49263,0
129,0,-0.318855,
130,1,-0.033052,1
