id,arm,y
1,1,2.820966
2,1,4.35274
3,1,1.247358
4,1,2.354033
5,1,1.35719
6,1,4.761708
7,1,3.328958
8,1,3.321344
9,1,2.752421
10,1,2.223262
11,1,5.427384
12,1,6.033018
13,1,1.939799
14,1,2.94579
15,1,3.947263
16,1,7.161772
17,1,2.681696
18,1,4.470752
19,1,3.622599
20,1,2.278851
21,1,3.887108
22,1,2.881707
23,1,1.232211
24,1,2.110277
25,1,1.979078
26,1,2.830187
27,1,1.508813
28,1,4.473506
29,1,2.536358
30,1,1.581014
31,1,1.674022
32,1,1.983002
33,1,4.884483
34,1,4.352305
35,1,0.415327
36,1,2.921091
37,1,2.060482
38,1,3.141915
39,1,2.57529
40,1,1.811459
41,1,2.483874
42,1,2.74096
43,1,4.535241
44,1,1.835363
45,1,1.363163
46,1,3.602927
47,1,3.970818
48,1,1.829001
49,1,0.682495
50,1,3.419113
51,1,1.958281
52,1,2.257802
53,1,3.074929
54,1,3.742088
55,1,1.26413
56,1,1.907345
57,1,2.162938
58,1,2.985269
59,1,1.919074
60,1,5.933561
61,1,7.573094
62,1,4.835714
63,1,3.486564
64,1,1.645074
65,1,1.680342
66,1,2.821238
67,1,2.538608
68,1,5.627774
69,1,4.281163
70,1,4.919093
71,1,4.10671
72,1,1.911905
73,1,6.128933
74,1,3.496482
75,1,2.783271
76,1,3.210675
77,1,2.795444
78,1,1.674133
79,1,3.477483
80,1,3.557707
81,2,5.283943
82,2,8.326964
83,2,2.735936
84,2,1.761995
85,2,3.910048
86,2,5.077415
87,2,1.806238
88,2,9.510745
89,2,2.322754
90,2,6.289188
91,2,4.172863
92,2,2.677625
93,2,4.595606
94,2,5.127908
95,2,5.736921
96,2,5.073686
97,2,4.186167
98,2,4.901495
99,2,2.45965
100,2,1.904829
101,2,4.167688
102,2,2.875665
103,2,10.441512
104,2,2.207006
105,2,1.785977
106,2,6.113642
107,2,1.5953
108,2,1.483272
109,2,4.476084
110,2,10.117881
111,2,2.053209
112,2,5.516234
113,2,3.02543
114,2,1.953136
115,2,5.771842
116,2,6.813897
117,2,2.763292
118,2,3.803429
119,2,1.338528
120,2,2.781116
121,2,5.836687
122,2,5.33078
123,2,3.13538
124,2,5.34696
125,2,2.264381
126,2,3.196422
127,2,2.028462
128,2,7.19005
129,2,3.678348
130,2,3.880369
131,2,3.14389
132,2,1.276235
133,2,5.395936
134,2,1.206645
135,2,3.678552
136,2,1.251838
137,2,6.95786
138,2,6.483848
139,2,2.899262
140,2,3.172459
141,2,2.363198
142,2,3.353396
143,2,1.498715
144,2,2.371096
145,2,2.441098
146,2,6.240926
147,2,4.004828
148,2,2.273314
149,2,3.010903
150,2,3.158979
151,2,4.510049
152,2,5.060865
153,2,2.652198
154,2,4.170104
155,2,7.404129
156,2,5.61345
157,2,2.909492
158,2,3.794205
159,2,3.146755
160,2,2.851969
161,3,4.016967
162,3,6.821391
163,3,15.444328
164,3,5.044604
165,3,3.614804
166,3,10.643369
167,3,5.93968
168,3,3.451675
169,3,6.831005
170,3,1.860496
171,3,4.822759
172,3,4.515048
173,3,5.668686
174,3,3.93203
175,3,4.379502
176,3,12.310334
177,3,4.369747
178,3,3.770527
179,3,9.838807
180,3,5.128196
181,3,6.265884
182,3,5.828222
183,3,3.907714
184,3,4.025767
185,3,2.628276
186,3,6.35168
187,3,2.75833
188,3,2.57692
189,3,5.663464
190,3,2.582563
191,3,3.885432
192,3,2.84478
193,3,6.197646
194,3,17.176073
195,3,11.780384
196,3,3.455282
197,3,7.812746
198,3,5.773033
199,3,10.32533
200,3,8.840039
201,3,5.290519
202,3,5.406198
203,3,4.429034
204,3,3.679121
205,3,6.079599
206,3,2.196238
207,3,3.218375
208,3,6.45801
209,3,10.207917
210,3,2.682211
211,3,2.087046
212,3,16.261925
213,3,9.485727
214,3,3.76009
215,3,6.206619
216,3,4.460201
217,3,4.059818
218,3,7.893078
219,3,10.406517
220,3,9.329022
221,3,4.352716
222,3,3.944472
223,3,9.606042
224,3,7.123269
225,3,8.669899
226,3,4.215683
227,3,6.989737
228,3,5.099584
229,3,2.00321
230,3,3.020148
231,3,3.783204
232,3,5.085709
233,3,7.427701
234,3,2.932847
235,3,3.541357
236,3,2.240051
237,3,4.137486
238,3,8.366391
239,3,7.189792
240,3,5.972958
