id,exposed,covariate,outcome
1,0,-0.980781,1
2,0,-1.20585,1
3,0,-0.688107,0
4,1,0.472534,1
5,1,0.432844,0
6,1,0.625625,0
7,0,-1.048309,0
8,1,0.062342,0
9,1,0.175039,1
10,1,-0.842248,0
11,1,1.160379,0
12,1,1.567555,0
13,1,-0.55096,1
14,0,-0.49787,0
15,0,-0.037091,0
16,0,0.236488,0
17,1,0.169642,1
18,0,0.150833,0
19,0,-0.412712,0
20,0,0.468079,0
21,0,0.111908,0
22,0,-0.797924,0
23,0,-0.709223,0
24,1,-0.487244,0
25,1,-0.496509,0
26,0,0.217387,0
27,0,0.359483,0
28,0,-0.736648,0
29,1,0.975531,0
30,0,0.81745,1
31,0,0.156983,0
32,1,0.39878,0
33,0,-0.676194,0
34,1,-0.461054,0
35,0,-0.284934,1
36,1,0.605629,0
37,0,-0.103587,0
38,0,-0.162036,0
39,1,0.581442,1
40,1,0.110282,1
41,0,0.025854,0
42,0,-2.276602,0
43,0,0.080932,0
44,1,0.598827,0
45,0,-1.511379,0
46,0,0.891647,0
47,0,0.072281,0
48,1,-1.160444,0
49,0,-0.005817,0
50,0,-1.915858,0
51,1,0.349635,0
52,0,1.377794,0
53,1,-0.019718,1
54,1,0.002166,0
55,0,0.807628,0
56,1,-0.95416,0
57,0,0.383251,0
58,1,-0.18187,1
59,0,-1.049369,0
60,0,-0.369468,0
61,0,-0.907133,0
62,0,-0.421408,0
63,0,-2.451866,0
64,1,-0.383249,0
65,0,-1.062161,0
66,0,-0.38639,0
67,1,0.738441,0
68,0,2.118276,0
69,0,1.334048,0
70,1,0.778594,0
71,1,-0.558428,1
72,1,-0.475237,0
73,0,-1.122886,0
74,1,0.628238,0
75,0,0.576253,0
76,0,-1.873919,0
77,1,0.311643,0
78,0,-0.41272,0
79,0,0.728968,0
80,0,-0.553062,0
81,1,2.221439,0
82,1,2.433501,1
83,0,0.900139,1
84,0,-1.282514,0
85,1,1.00198,1
86,1,-1.668372,0
87,0,0.837618,0
88,1,0.357845,0
89,1,-0.35573,0
90,1,1.660143,1
91,1,0.681966,0
92,0,0.192073,0
93,1,0.235259,1
94,1,0.146504,0
95,1,-1.267239,0
96,0,1.27289,0
97,0,1.097229,0
98,1,0.555712,1
99,0,-1.670313,0
100,1,0.865917,0
101,1,-0.173482,0
102,0,0.305197,0
103,1,-0.347482,0
104,1,-0.670484,1
105,0,0.474552,0
106,0,0.458972,0
107,0,-1.163664,0
108,1,1.015943,0
109,0,-1.783838,0
110,0,0.858175,1
111,1,-1.380886,0
112,0,-0.89949,0
113,0,0.667824,0
114,1,0.498391,0
115,0,0.495496,0
116,0,-0.854566,0
117,1,-0.859329,0
118,1,0.387846,0
119,0,-0.173269,0
120,0,-0.654569,0
121,0,0.381825,0
122,0,0.870779,1
123,0,-0.886996,0
124,0,-2.596284,0
125,0,0.244155,0
126,0,-1.276648,0
127,1,0.778342,0
128,0,-0.92755,0
129,0,-1.76108,0
130,0,-1.647279,1
131,1,0.538987,1
132,0,-1.335678,0
133,0,-0.701511,0
134,0,-0.537407,0
135,1,0.813976,1
136,0,-0.230469,0
137,1,-1.248487,1
138,0,0.11916,0
139,0,-0.134099,0
140,0,-1.103061,0
141,1,-0.548692,1
142,1,0.123094,0
143,0,0.035564,0
144,1,0.218184,1
145,0,-0.958068,0
146,0,0.558362,0
147,0,-0.437094,0
148,1,0.205235,0
149,1,1.162552,0
150,0,-3.04648,0
151,0,0.301151,0
152,0,0.575599,0
153,1,2.179011,0
154,0,0.31008,0
155,0,-0.097003,0
156,1,0.805219,0
157,0,-0.265687,0
158,1,0.130376,0
159,0,0.678308,0
160,0,0.40171,0
161,1,1.719498,1
162,1,0.717344,1
163,0,-1.65974,0
164,0,0.099717,1
165,1,0.765041,0
166,1,0.461613,0
167,0,1.885941,0
168,0,0.037466,0
169,0,2.450653,0
170,0,-1.503272,0
171,0,-0.681418,0
172,1,-0.774475,1
173,1,-0.786441,0
174,0,-1.160385,0
175,0,0.637626,1
176,0,-0.528162,0
177,1,-1.007997,0
178,0,-1.806387,0
179,1,1.956276,0
180,1,1.113175,0
181,0,-0.520016,0
182,0,-0.228189,0
183,1,-0.279076,0
184,1,0.631946,0
185,1,0.389378,1
186,1,-0.131229,0
187,1,0.911191,1
188,0,1.060072,0
189,0,-1.419206,0
190,0,0.968662,0
191,0,-0.962179,0
192,0,-0.925711,0
193,0,0.749393,0
194,0,-1.113863,0
195,0,-0.55128,0
196,0,-0.511493,1
197,0,-0.188127,1
198,0,-0.961412,0
199,0,-0.358863,0
200,1,0.61087,0
201,0,-0.251165,0
202,0,0.162587,0
203,0,0.092213,0
204,1,0.324042,0
205,0,-1.302914,0
206,0,-0.85971,1
207,0,-0.527546,1
208,0,-0.372896,0
209,0,-1.029456,0
210,0,-1.244413,0
211,1,-0.798856,0
212,0,-1.265404,1
213,0,-0.468804,0
214,1,-1.052642,0
215,1,0.618464,0
216,1,-0.354645,0
