id,group,y
1,0,1.317005
2,0,5.249153
3,0,2.290762
4,0,2.030107
5,0,2.855174
6,0,4.809938
7,0,3.646367
8,0,1.41757
9,0,2.017125
10,0,5.67113
11,0,1.508781
12,0,3.70747
13,0,5.50898
14,0,2.641648
15,0,1.433986
16,0,0.810741
17,0,2.545827
18,0,2.244106
19,0,3.494083
20,0,4.898151
21,0,3.768003
22,0,5.977202
23,0,1.942834
24,0,2.760406
25,0,5.518347
26,0,2.828814
27,0,0.90734
28,0,1.990792
29,0,2.005961
30,0,1.169045
31,0,2.660026
32,0,1.815707
33,0,1.190217
34,0,3.778027
35,0,2.433989
36,0,2.564406
37,0,2.630214
38,0,5.631143
39,0,3.069215
40,0,1.764975
41,1,3.018497
42,1,6.148781
43,1,2.556054
44,1,5.04132
45,1,7.095478
46,1,21.63169
47,1,5.979694
48,1,4.812584
49,1,6.513315
50,1,6.865228
51,1,5.086187
52,1,5.585145
53,1,5.305287
54,1,4.390011
55,1,5.568851
56,1,6.361789
57,1,5.26093
58,1,12.163413
59,1,5.836973
60,1,4.483207
61,1,3.900514
62,1,9.759561
63,1,3.635704
64,1,4.575984
65,1,5.878133
66,1,3.066957
67,1,4.905844
68,1,4.983971
69,1,7.860919
70,1,4.521601
71,1,4.014309
72,1,5.146773
73,1,3.059203
74,1,2.949786
75,1,9.658187
76,1,3.274258
77,1,3.277732
78,1,4.876978
79,1,5.205147
80,1,5.09019
