id,c,treated,mediator,event
1,-0.188055,0,0,0
2,0.589233,1,1,1
3,0.119085,0,0,0
4,0.883449,1,1,0
5,0.271836,0,0,0
6,-0.65597,0,1,0
7,3.071184,0,1,1
8,1.357232,0,0,0
9,-2.126609,1,0,0
10,0.316974,1,0,0
11,0.781923,1,1,0
12,0.150178,1,1,1
13,1.042994,0,1,0
14,-0.84349,1,1,0
15,-0.458783,0,1,1
16,0.404847,1,0,0
17,0.48417,0,1,1
18,1.126287,0,0,1
19,1.716018,1,0,0
20,0.718763,1,1,1
21,2.005327,1,1,1
22,0.430136,0,0,0
23,1.246144,0,0,1
24,0.258035,1,1,1
25,-1.246143,0,0,0
26,-0.869718,0,0,0
27,1.449288,0,0,0
28,-0.774403,1,1,0
29,0.454618,1,1,1
30,1.086825,1,1,1
31,1.366691,0,1,1
32,-0.508282,1,0,0
33,0.044192,1,0,0
34,0.249032,1,0,0
35,0.065276,0,0,0
36,0.986394,1,1,0
37,-0.370638,1,0,0
38,0.100003,0,0,0
39,-0.212961,0,0,0
40,-1.937368,1,0,0
41,0.347412,0,1,1
42,0.979581,0,1,0
43,0.016228,0,1,0
44,-0.589284,1,0,0
45,1.293101,1,0,0
46,-2.09651,0,1,0
47,0.654277,1,0,1
48,-1.466486,1,0,0
49,0.940457,0,0,1
50,0.593324,0,0,0
51,-0.575208,0,1,0
52,1.205713,0,0,0
53,-1.268818,0,1,0
54,-0.61913,0,0,0
55,-0.343085,0,1,0
56,0.512464,0,0,0
57,-0.448204,0,1,0
58,-0.164265,1,1,1
59,0.5296,0,0,0
60,0.030943,0,0,0
61,0.782354,1,0,0
62,-0.312011,0,1,0
63,-0.332079,0,0,0
64,-0.930676,0,1,0
65,1.296356,1,1,1
66,0.012497,1,0,0
67,-0.397667,0,0,0
68,-0.238512,0,1,0
69,0.562845,1,1,1
70,-0.566694,1,0,0
71,-0.695184,0,0,1
72,0.026553,1,1,1
73,-2.210379,0,0,0
74,0.955799,1,0,1
75,-1.560523,0,0,0
76,-0.690486,0,1,1
77,1.087008,1,0,0
78,-0.814808,0,0,0
79,-1.760569,0,1,0
80,-1.190128,0,0,0
81,1.478015,0,1,1
82,2.089069,1,1,1
83,-1.047354,0,1,1
84,0.449599,1,0,0
85,0.008553,1,1,0
86,-0.287385,1,1,0
87,0.642642,1,0,0
88,-0.207349,1,1,1
89,0.505418,0,0,0
90,-0.949062,1,0,0
91,-1.158543,1,1,1
92,0.396724,0,0,0
93,-1.331861,0,0,0
94,0.02725,1,0,0
95,-0.76946,0,0,0
96,-0.95877,0,1,0
97,1.0373,1,1,1
98,0.580978,0,0,1
99,-0.206829,1,0,0
100,-0.310602,1,0,0
101,1.637707,1,1,1
102,-1.446667,1,1,1
103,-1.011555,0,0,0
104,0.056023,0,1,1
105,0.065011,0,0,0
106,0.338227,0,1,1
107,1.268624,1,1,1
108,0.513979,0,0,1
109,-0.323185,0,0,0
110,1.447063,1,1,1
111,-0.070399,0,0,0
112,-1.349409,0,1,0
113,-0.765794,1,1,0
114,-1.093354,0,0,0
115,0.858997,0,1,0
116,2.706215,1,1,1
117,1.831385,1,1,1
118,-0.079906,1,1,1
119,1.558654,1,1,1
120,1.307565,1,1,1
121,0.369407,1,1,1
122,0.750179,1,1,0
