ward,intervention,days,infections
1,1,8,0
1,1,15,2
1,1,15,0
1,1,3,0
1,1,15,1
1,1,8,0
1,1,7,0
1,1,12,0
1,1,10,0
1,1,12,1
1,1,5,0
1,1,10,0
1,1,20,0
1,1,8,0
1,1,11,1
1,1,12,0
1,1,20,0
1,1,14,0
1,1,14,0
1,1,12,0
1,1,13,0
1,1,11,0
1,1,6,1
1,1,18,0
1,1,11,0
1,1,3,0
1,1,18,0
1,1,9,1
1,1,19,0
1,1,9,0
1,1,8,0
1,1,10,0
1,1,9,0
1,1,4,0
1,1,19,1
1,1,14,0
1,1,14,0
1,1,5,0
1,1,11,0
1,1,18,0
2,1,18,2
2,1,18,0
2,1,17,3
2,1,6,0
2,1,18,1
2,1,18,0
2,1,11,1
2,1,14,0
2,1,8,0
2,1,18,0
2,1,6,0
2,1,18,0
2,1,7,0
2,1,2,0
2,1,12,0
2,1,4,0
2,1,17,0
2,1,20,1
2,1,13,0
2,1,2,0
2,1,6,0
2,1,10,1
2,1,16,1
2,1,10,0
2,1,7,0
2,1,6,0
2,1,6,0
2,1,14,1
2,1,14,0
2,1,11,2
2,1,7,0
2,1,10,1
2,1,12,0
2,1,8,0
2,1,8,0
2,1,5,0
2,1,16,1
2,1,4,0
2,1,5,0
2,1,20,0
3,1,3,0
3,1,15,1
3,1,19,0
3,1,9,1
3,1,18,0
3,1,7,0
3,1,2,0
3,1,3,0
3,1,17,0
3,1,11,0
3,1,18,0
3,1,15,0
3,1,16,0
3,1,20,0
3,1,19,0
3,1,5,0
3,1,2,0
3,1,3,0
3,1,9,0
3,1,14,1
3,1,6,0
3,1,13,1
3,1,2,0
3,1,2,0
3,1,11,1
3,1,4,0
3,1,12,2
3,1,14,1
3,1,14,0
3,1,8,0
3,1,14,0
3,1,14,0
3,1,9,0
3,1,18,0
3,1,3,0
3,1,16,0
3,1,11,0
3,1,9,0
3,1,18,0
3,1,10,0
4,1,14,0
4,1,9,0
4,1,8,0
4,1,5,0
4,1,14,0
4,1,5,0
4,1,3,0
4,1,2,0
4,1,14,0
4,1,8,0
4,1,3,0
4,1,13,1
4,1,3,0
4,1,9,0
4,1,18,0
4,1,15,0
4,1,3,0
4,1,15,2
4,1,18,1
4,1,14,0
4,1,8,0
4,1,7,0
4,1,11,1
4,1,20,0
4,1,15,0
4,1,16,0
4,1,17,0
4,1,19,0
4,1,6,0
4,1,4,0
4,1,3,0
4,1,15,0
4,1,18,0
4,1,19,2
4,1,2,0
4,1,13,0
4,1,18,1
4,1,19,0
4,1,14,0
4,1,15,0
5,1,15,0
5,1,14,0
5,1,7,0
5,1,5,0
5,1,7,1
5,1,3,0
5,1,18,0
5,1,2,0
5,1,8,0
5,1,4,0
5,1,16,0
5,1,10,0
5,1,7,0
5,1,7,0
5,1,6,0
5,1,7,0
5,1,9,1
5,1,15,1
5,1,14,0
5,1,7,0
5,1,9,0
5,1,16,0
5,1,13,0
5,1,15,0
5,1,12,1
5,1,6,0
5,1,11,0
5,1,2,0
5,1,3,0
5,1,2,0
5,1,15,0
5,1,16,0
5,1,8,0
5,1,2,0
5,1,11,0
5,1,18,0
5,1,7,0
5,1,20,0
5,1,9,0
5,1,5,0
6,1,7,0
6,1,4,0
6,1,5,0
6,1,3,0
6,1,15,0
6,1,19,0
6,1,12,1
6,1,18,0
6,1,11,1
6,1,19,1
6,1,15,1
6,1,9,0
6,1,19,2
6,1,17,0
6,1,9,0
6,1,5,0
6,1,9,0
6,1,18,0
6,1,7,0
6,1,18,0
6,1,9,0
6,1,11,0
6,1,17,0
6,1,2,0
6,1,19,0
6,1,15,0
6,1,13,0
6,1,3,0
6,1,15,0
6,1,14,0
6,1,7,1
6,1,19,0
6,1,8,0
6,1,19,1
6,1,18,0
6,1,17,0
6,1,14,0
6,1,11,0
6,1,18,1
6,1,12,0
7,1,17,0
7,1,3,0
7,1,5,1
7,1,8,1
7,1,7,0
7,1,19,0
7,1,12,0
7,1,13,0
7,1,14,0
7,1,18,0
7,1,12,0
7,1,11,1
7,1,4,0
7,1,4,0
7,1,17,0
7,1,18,1
7,1,16,1
7,1,11,0
7,1,4,0
7,1,14,0
7,1,3,0
7,1,15,0
7,1,5,0
7,1,5,0
7,1,17,0
7,1,7,0
7,1,9,0
7,1,16,0
7,1,4,0
7,1,19,0
7,1,6,0
7,1,7,0
7,1,14,1
7,1,14,0
7,1,8,0
7,1,19,0
7,1,19,0
7,1,17,0
7,1,6,0
7,1,5,0
8,1,19,0
8,1,13,1
8,1,19,0
8,1,20,2
8,1,9,0
8,1,11,1
8,1,3,0
8,1,11,1
8,1,14,1
8,1,13,0
8,1,16,0
8,1,18,0
8,1,5,0
8,1,6,0
8,1,20,0
8,1,4,0
8,1,15,0
8,1,6,0
8,1,5,0
8,1,12,0
8,1,16,1
8,1,11,1
8,1,17,1
8,1,14,2
8,1,9,0
8,1,12,0
8,1,9,0
8,1,10,0
8,1,18,0
8,1,6,1
8,1,8,1
8,1,6,0
8,1,2,0
8,1,16,1
8,1,2,0
8,1,20,0
8,1,18,0
8,1,8,1
8,1,2,0
8,1,5,2
9,1,8,0
9,1,18,0
9,1,20,0
9,1,20,0
9,1,5,0
9,1,3,0
9,1,3,0
9,1,15,2
9,1,8,0
9,1,14,0
9,1,9,0
9,1,19,0
9,1,12,2
9,1,12,0
9,1,17,0
9,1,5,0
9,1,11,0
9,1,20,2
9,1,4,0
9,1,7,0
9,1,13,0
9,1,16,0
9,1,11,0
9,1,2,0
9,1,20,2
9,1,11,0
9,1,8,0
9,1,13,0
9,1,12,0
9,1,15,1
9,1,13,0
9,1,4,0
9,1,7,0
9,1,14,0
9,1,11,0
9,1,16,1
9,1,6,0
9,1,4,0
9,1,19,0
9,1,18,1
10,1,16,0
10,1,7,0
10,1,18,0
10,1,18,0
10,1,6,0
10,1,17,0
10,1,19,0
10,1,2,0
10,1,4,0
10,1,6,0
10,1,19,0
10,1,11,0
10,1,12,3
10,1,19,0
10,1,12,0
10,1,19,0
10,1,8,0
10,1,6,0
10,1,10,0
10,1,6,0
10,1,14,0
10,1,3,0
10,1,8,0
10,1,15,0
10,1,13,0
10,1,4,0
10,1,3,0
10,1,7,0
10,1,8,1
10,1,19,0
10,1,8,0
10,1,11,1
10,1,19,1
10,1,16,0
10,1,20,0
10,1,11,0
10,1,4,0
10,1,12,0
10,1,8,0
10,1,9,0
11,1,19,0
11,1,7,0
11,1,12,0
11,1,10,0
11,1,15,0
11,1,9,0
11,1,20,0
11,1,6,0
11,1,13,0
11,1,17,1
11,1,20,0
11,1,4,0
11,1,17,1
11,1,5,0
11,1,17,0
11,1,6,0
11,1,7,0
11,1,19,0
11,1,4,0
11,1,20,0
11,1,18,0
11,1,7,1
11,1,7,0
11,1,7,0
11,1,11,0
11,1,5,0
11,1,20,0
11,1,12,1
11,1,16,1
11,1,14,1
11,1,17,0
11,1,12,2
11,1,7,1
11,1,10,0
11,1,5,0
11,1,8,0
11,1,7,0
11,1,3,0
11,1,6,0
11,1,5,0
12,1,4,0
12,1,11,0
12,1,7,0
12,1,12,0
12,1,15,0
12,1,15,0
12,1,4,0
12,1,10,0
12,1,7,0
12,1,3,0
12,1,19,0
12,1,2,0
12,1,7,0
12,1,16,1
12,1,10,0
12,1,20,1
12,1,8,0
12,1,18,2
12,1,18,0
12,1,14,0
12,1,13,0
12,1,16,1
12,1,15,0
12,1,13,0
12,1,18,0
12,1,16,1
12,1,5,0
12,1,2,0
12,1,11,0
12,1,10,0
12,1,7,0
12,1,6,0
12,1,10,0
12,1,7,0
12,1,9,0
12,1,20,1
12,1,17,0
12,1,19,0
12,1,9,0
12,1,6,0
13,1,6,0
13,1,14,0
13,1,4,0
13,1,17,0
13,1,7,0
13,1,13,0
13,1,9,0
13,1,4,0
13,1,7,0
13,1,15,0
13,1,8,0
13,1,9,0
13,1,17,0
13,1,20,0
13,1,4,0
13,1,6,0
13,1,8,0
13,1,4,0
13,1,5,0
13,1,10,0
13,1,10,0
13,1,9,0
13,1,3,0
13,1,8,0
13,1,6,0
13,1,10,0
13,1,4,0
13,1,3,0
13,1,18,1
13,1,15,1
13,1,6,0
13,1,5,0
13,1,19,0
13,1,10,0
13,1,17,1
13,1,13,0
13,1,10,0
13,1,16,0
13,1,20,0
13,1,12,0
14,1,12,0
14,1,15,0
14,1,12,1
14,1,16,0
14,1,6,0
14,1,18,1
14,1,20,1
14,1,13,0
14,1,11,0
14,1,3,0
14,1,8,0
14,1,16,0
14,1,20,0
14,1,11,0
14,1,12,0
14,1,19,0
14,1,7,0
14,1,19,1
14,1,17,1
14,1,10,0
14,1,4,0
14,1,7,0
14,1,16,0
14,1,13,0
14,1,20,1
14,1,17,0
14,1,14,0
14,1,5,1
14,1,15,1
14,1,11,0
14,1,18,0
14,1,10,1
14,1,15,0
14,1,12,0
14,1,8,0
14,1,9,0
14,1,5,0
14,1,6,0
14,1,6,0
14,1,4,0
15,1,11,1
15,1,17,0
15,1,18,0
15,1,18,0
15,1,17,0
15,1,4,0
15,1,7,0
15,1,8,1
15,1,3,1
15,1,2,0
15,1,6,0
15,1,4,0
15,1,17,0
15,1,20,0
15,1,8,0
15,1,17,0
15,1,7,0
15,1,3,0
15,1,8,0
15,1,19,0
15,1,8,0
15,1,20,0
15,1,14,0
15,1,7,0
15,1,16,0
15,1,20,0
15,1,6,0
15,1,17,1
15,1,20,0
15,1,14,0
15,1,12,1
15,1,5,0
15,1,2,0
15,1,17,0
15,1,2,0
15,1,11,0
15,1,16,0
15,1,5,0
15,1,15,1
