id,treated,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
1,0,-0.965826,-0.487133,1.343371,0.136348,1.092557,0.250296,0.067235,0.497728,0.577345,-0.398645
2,1,0.558822,0.29998,0.882781,-0.792528,1.587001,-0.789,-1.347738,0.354124,0.130346,1.006808
3,1,2.155653,-0.044655,0.92805,-0.157728,-0.606687,0.519553,2.268664,-1.201323,1.059997,0.626973
4,1,-1.028125,-0.468829,0.380235,-0.108493,0.326707,-0.343469,-0.4373,-0.158239,-1.332026,-0.184393
5,0,-1.390517,1.108038,-0.446086,0.772648,-0.060036,-0.227621,-1.74663,0.117178,-2.033964,-1.376873
6,1,-0.936527,2.137271,1.058259,2.055241,0.004433,-1.3455,-0.691642,0.015574,0.097222,1.125009
7,0,1.908108,0.823801,0.084357,1.465774,0.12174,2.483891,-0.458319,-0.005355,-0.643745,0.876697
8,0,1.243472,0.089883,0.094969,-1.375842,-0.955915,0.23551,-0.509568,0.199342,1.354909,-0.960168
9,1,0.398468,0.230948,0.440117,-0.329339,1.985432,1.244252,0.287325,0.612976,-1.203139,-0.709813
10,1,-1.603547,0.206302,-0.177961,-0.108868,-0.111514,-0.276888,-1.091097,0.143929,0.200763,1.098269
11,1,-0.124109,-1.937831,-0.182894,-0.858369,0.049169,-0.073886,-0.125908,0.277549,-0.419259,0.202454
12,0,0.10533,-1.447179,-0.759839,-0.876576,0.328501,-0.325295,-1.089923,-1.715178,-0.625127,-1.897706
13,0,0.059025,1.188054,-0.535582,1.560629,0.577228,-1.926198,-0.300483,-2.920926,-0.566122,0.036172
14,0,-0.821427,-0.893841,-0.394657,1.364654,0.461358,0.086979,0.594467,1.611337,-1.000804,0.460099
15,0,0.409978,1.693174,-0.08725,-0.9386,-0.703259,0.317189,2.269718,-0.320695,-1.444653,0.882141
16,1,-0.113777,0.558043,-0.453023,0.177236,-1.546474,1.451827,-0.389217,0.838603,-0.258907,1.676729
17,0,-0.133495,0.541799,1.200145,-0.167595,1.197574,-0.268843,0.082619,0.15368,-1.475868,0.517557
18,0,-0.035782,0.322748,0.237552,0.627334,0.107983,-0.90619,0.281447,-0.89577,-0.183681,1.399188
19,0,-0.836553,-0.528895,1.208119,0.334786,0.892031,-1.542907,1.430377,1.058215,0.157737,0.379928
20,1,0.462601,0.925323,0.310241,0.455475,2.181718,-2.055511,-1.795762,-2.490861,-0.080557,1.877935
21,0,-0.361951,-0.596308,1.170898,1.261858,-1.814623,0.415617,-1.004593,1.847322,-0.348867,-0.051545
22,1,0.14778,1.832866,1.509212,-0.9952,-0.57863,0.447475,-0.653684,0.294756,-0.685263,-1.21393
23,0,-0.011575,-0.059863,-1.38828,-1.610774,-1.258407,0.727222,0.878135,0.362105,0.252872,0.701108
24,0,-1.606801,-0.964171,-0.442041,0.503293,-0.235581,-1.204276,-1.199642,0.960751,-0.489974,-0.238985
25,0,-0.266169,-0.417865,-0.514965,1.710443,0.099043,-0.111781,2.36937,2.088984,2.297024,0.255424
26,0,-1.891905,-1.249983,0.338189,-0.703902,-1.468683,0.491481,-0.199285,-0.848368,0.216164,0.665736
