study,treat1,treat2,TE,seTE
1,B,A,-0.3479129028,0.2241515836
2,B,A,-0.123323216,0.2028542873
3,B,A,-0.3397306131,0.2293553496
4,B,A,-0.4909749833,0.276973382
5,B,A,-0.7145383705,0.2387521874
6,B,A,-0.5792778086,0.1988507431
7,C,A,-1.342240438,0.2905157704
8,C,A,-1.0116599035,0.2762366485
9,C,A,-0.5676534044,0.2001594447
10,C,A,-0.6226739239,0.2312571155
11,C,A,0.1344824973,0.3670341498
12,C,B,-0.52187546,0.2316198203
13,C,B,-0.9977354941,0.3596353965
14,C,B,-0.508653284,0.3221355228
15,C,B,0.0613436302,0.3503321125
