id,arm,y
1,1,7.94
2,1,5.04
3,1,8.42
4,1,6.11
5,1,15.94
6,1,11.21
7,1,11.45
8,1,3.74
9,1,11.42
10,1,9.15
11,1,9.22
12,1,7.11
13,1,10.6
14,1,10.12
15,1,8.78
16,1,7.78
17,1,6.01
18,1,7.93
19,1,12.6
20,1,4.93
21,1,11.51
22,1,10.57
23,1,9.93
24,1,10.56
25,1,6.69
26,1,10.4
27,1,9.46
28,1,12.2
29,1,6.49
30,1,6.55
31,1,11.61
32,1,9.28
33,1,10.73
34,1,8.29
35,1,10.46
36,1,7.7
37,1,6.15
38,1,11.95
39,1,14.38
40,1,10.27
41,1,11.66
42,1,6.68
43,1,8.28
44,1,12.43
45,1,8.04
46,1,6.12
47,1,10.46
48,1,14.35
49,1,10.0
50,1,10.09
51,1,6.01
52,1,10.56
53,1,9.62
54,1,7.41
55,1,13.99
56,1,10.41
57,1,11.86
58,1,11.19
59,1,9.21
60,1,9.25
61,1,12.37
62,1,7.24
63,1,6.81
64,1,9.72
65,1,5.67
66,1,14.63
67,1,10.86
68,1,10.67
69,1,11.48
70,1,9.15
71,1,10.62
72,1,5.88
73,1,14.43
74,1,10.45
75,1,8.13
76,1,7.28
77,1,12.07
78,1,4.97
79,1,14.73
80,1,8.52
81,1,10.08
82,1,8.53
83,1,13.21
84,1,9.09
85,1,12.56
86,1,11.86
87,1,10.94
88,1,8.86
89,1,8.04
90,1,13.27
91,1,7.54
92,1,12.57
93,1,9.83
94,1,15.41
95,1,10.73
96,1,8.37
97,1,13.2
98,1,10.03
99,1,11.01
100,1,8.35
101,2,7.21
102,2,15.57
103,2,12.97
104,2,15.24
105,2,9.34
106,2,12.09
107,2,12.81
108,2,10.01
109,2,16.7
110,2,7.05
111,2,13.63
112,2,14.03
113,2,10.88
114,2,8.55
115,2,9.99
116,2,13.46
117,2,9.77
118,2,13.02
119,2,13.56
120,2,12.08
121,2,11.32
122,2,13.88
123,2,10.2
124,2,9.18
125,2,11.74
126,2,12.83
127,2,6.86
128,2,11.67
129,2,10.2
130,2,17.22
131,2,9.32
132,2,12.55
133,2,7.63
134,2,17.32
135,2,10.95
136,2,13.19
137,2,11.88
138,2,15.38
139,2,10.06
140,2,9.25
141,2,9.03
142,2,10.94
143,2,9.19
144,2,9.3
145,2,14.49
146,2,13.39
147,2,11.95
148,2,7.53
149,2,10.89
150,2,8.82
151,2,18.03
152,2,10.85
153,2,8.54
154,2,13.38
155,2,13.44
156,2,8.94
157,2,10.78
158,2,13.11
159,2,12.65
160,2,6.08
161,2,10.15
162,2,9.3
163,2,12.01
164,2,6.58
165,2,12.91
166,2,11.76
167,2,9.88
168,2,13.94
169,2,11.77
170,2,13.78
171,2,16.81
172,2,9.6
173,2,10.53
174,2,9.56
175,2,12.46
176,2,8.92
177,2,7.28
178,2,13.99
179,2,13.67
180,2,7.81
181,2,8.98
182,2,10.5
183,2,14.3
184,2,14.36
185,2,9.09
186,2,9.66
187,2,12.12
188,2,14.19
189,2,9.7
190,2,6.51
191,2,12.61
192,2,9.54
193,2,13.29
194,2,9.35
195,2,13.13
196,2,9.1
197,2,11.86
198,2,13.19
199,2,12.51
200,2,7.59
201,3,14.81
202,3,11.82
203,3,19.56
204,3,17.9
205,3,12.95
206,3,16.0
207,3,15.87
208,3,14.93
209,3,11.6
210,3,10.45
211,3,13.05
212,3,14.66
213,3,15.23
214,3,16.45
215,3,14.65
216,3,11.82
217,3,17.61
218,3,20.44
219,3,19.09
220,3,10.73
221,3,12.79
222,3,14.58
223,3,13.91
224,3,15.57
225,3,13.65
226,3,18.46
227,3,19.07
228,3,10.88
229,3,16.73
230,3,15.42
231,3,14.17
232,3,14.17
233,3,13.82
234,3,12.89
235,3,14.43
236,3,12.98
237,3,15.2
238,3,10.13
239,3,18.63
240,3,15.43
241,3,12.05
242,3,14.59
243,3,17.24
244,3,11.44
245,3,15.57
246,3,11.15
247,3,15.33
248,3,18.67
249,3,12.24
250,3,16.51
251,3,16.57
252,3,14.98
253,3,13.38
254,3,14.52
255,3,16.06
256,3,14.39
257,3,14.57
258,3,20.63
259,3,14.62
260,3,19.23
261,3,14.17
262,3,17.28
263,3,9.96
264,3,12.92
265,3,14.51
266,3,12.96
267,3,18.27
268,3,13.47
269,3,12.65
270,3,16.54
271,3,13.71
272,3,12.93
273,3,19.69
274,3,14.24
275,3,12.27
276,3,14.04
277,3,19.14
278,3,14.15
279,3,13.9
280,3,12.25
281,3,11.83
282,3,15.93
283,3,14.22
284,3,13.04
285,3,13.21
286,3,12.4
287,3,17.77
288,3,12.26
289,3,12.39
290,3,14.09
291,3,21.22
292,3,17.81
293,3,18.03
294,3,12.25
295,3,15.69
296,3,14.76
297,3,14.66
298,3,9.52
299,3,11.13
300,3,14.54
