id,score,treated,y
1,-0.742568,0,2.456955
2,0.686288,1,7.999109
3,-0.803475,0,1.897704
4,0.736118,1,8.366813
5,-0.659313,0,2.243543
6,-0.087769,0,3.406197
7,0.578937,1,8.139064
8,-0.463411,0,4.087201
9,0.904662,1,10.584749
10,-0.864908,0,1.141225
11,0.128267,1,7.860963
12,0.668036,1,8.120886
13,-0.244732,0,3.223441
14,0.963104,1,10.230892
15,-0.906595,0,2.793529
16,0.489487,1,7.213241
17,0.797126,1,8.78008
18,-0.10476,0,4.852276
19,0.247158,1,7.28299
20,-0.540581,0,3.149218
21,0.699338,1,9.932694
22,0.60676,1,8.417311
23,0.967045,1,11.752216
24,-0.595536,0,3.928653
25,-0.858885,0,0.656805
26,-0.917402,0,2.592031
27,-0.109166,0,4.347166
28,0.348017,1,6.152313
29,0.857603,1,8.764196
30,0.634214,1,9.614925
31,-0.198504,0,4.321741
32,0.667215,1,8.101136
33,0.242425,1,6.908637
34,-0.133143,0,4.355467
35,0.818146,1,10.047579
36,-0.066203,0,5.904737
37,-0.746339,0,2.983646
38,0.80134,1,9.129554
39,-0.717816,0,2.74586
40,-0.218749,0,4.66201
41,0.670334,1,6.848607
42,-0.263723,0,4.508129
43,-0.769968,0,2.631995
44,-0.002101,0,4.250371
45,0.189335,1,7.415486
46,0.200138,1,6.954273
47,0.787654,1,9.876097
48,-0.07085,0,6.091909
49,0.621078,1,7.450757
50,-0.474478,0,3.606073
51,0.367927,1,5.178442
52,-0.579019,0,4.797075
53,0.463656,1,7.849645
54,0.004681,1,6.649752
55,-0.145673,0,4.957058
56,0.730677,1,7.474836
57,0.246379,1,5.879434
58,0.089274,1,7.075218
59,0.676067,1,9.187007
60,0.247964,1,7.099776
61,0.958865,1,8.494472
62,0.451984,1,7.270589
63,-0.726547,0,2.48197
64,-0.50529,0,6.662521
65,-0.330992,0,5.306495
66,0.279919,1,6.12649
67,0.716387,1,8.116957
68,-0.334612,0,3.886935
69,-0.234893,0,3.758596
70,-0.637059,0,3.191321
71,-0.363919,0,4.003666
72,0.815477,1,10.367557
73,-0.405049,0,4.228106
74,-0.492926,0,3.368581
75,-0.386186,0,2.727096
76,0.477575,1,6.861537
77,-0.101064,0,4.474511
78,-0.186052,0,4.832893
79,0.277381,1,6.148456
80,0.510057,1,7.725007
81,0.67649,1,8.790345
82,-0.071192,0,3.8297
83,-0.492126,0,3.090081
84,0.451272,1,8.107736
85,0.735757,1,8.598909
86,0.276874,1,7.938085
87,-0.571749,0,3.491249
88,-0.704959,0,0.119552
89,0.858033,1,8.863516
90,0.614513,1,7.83079
91,0.02952,1,6.151826
92,0.481909,1,7.974628
93,0.492609,1,8.373178
94,-0.714203,0,3.44763
95,-0.302197,0,5.285234
96,-0.633707,0,3.957038
97,-0.88683,0,3.829276
98,-0.829328,0,2.69414
99,-0.053587,0,5.171628
100,-0.366397,0,4.215765
101,0.447263,1,7.913948
102,0.746261,1,9.294686
103,-0.744402,0,2.721792
104,-0.383637,0,3.079548
105,-0.290459,0,4.856885
106,-0.122259,0,4.292885
107,-0.571478,0,4.038689
108,0.713452,1,8.818235
109,0.978079,1,8.805268
110,-0.21733,0,4.520941
111,-0.636157,0,3.612501
112,0.493912,1,8.300639
113,-0.090516,0,5.721728
114,0.4207,1,8.540253
115,-0.815539,0,2.403226
116,0.059622,1,5.753935
117,-0.956017,0,3.334459
118,0.316971,1,7.026729
119,0.391629,1,7.864237
120,0.579116,1,8.339704
121,-0.527648,0,4.352451
122,0.097036,1,6.807314
123,0.734893,1,8.116333
124,-0.602512,0,1.439105
125,0.117291,1,4.681819
126,0.86976,1,9.696724
127,0.565446,1,8.976045
128,-0.349818,0,4.431507
129,0.343664,1,6.755816
130,0.668305,1,8.426923
131,0.979918,1,9.717505
132,0.012809,1,6.990014
133,-0.706905,0,1.740301
134,0.055869,1,6.932353
135,0.958286,1,11.304764
136,-0.253308,0,5.223499
137,-0.090387,0,5.154211
138,0.452683,1,7.363077
139,0.66568,1,9.676489
140,0.054119,1,5.990747
141,-0.589348,0,4.292839
142,0.609379,1,8.393006
143,0.296889,1,7.79801
144,-0.391544,0,3.885339
145,-0.665609,0,2.341855
146,-0.694326,0,3.65484
147,-0.188975,0,4.29702
148,-0.698673,0,2.506236
149,-0.794774,0,2.411876
150,0.747236,1,8.60252
151,0.481498,1,5.704492
152,0.237956,1,7.301132
153,-0.54837,0,3.918812
154,0.48601,1,7.915211
155,-0.41041,0,5.249989
156,-0.247744,0,5.645244
157,0.387686,1,6.132367
158,-0.946514,0,2.045988
159,0.257337,1,8.278763
160,0.603383,1,7.436731
161,0.303715,1,7.469002
162,0.442928,1,7.40891
163,-0.853483,0,0.365921
164,-0.284806,0,2.884047
165,0.170391,1,6.568568
166,-0.089699,0,4.875208
167,-0.630459,0,4.218559
168,0.233033,1,6.789262
169,-0.890578,0,1.385851
170,0.31622,1,6.443884
171,0.195977,1,8.364847
172,-0.042296,0,5.686646
173,0.778735,1,11.067604
174,0.734234,1,7.415653
175,0.581286,1,7.76886
176,-0.040058,0,5.565879
177,-0.405306,0,5.25333
178,0.187133,1,8.170507
179,0.433981,1,8.837721
180,0.587761,1,7.709715
181,0.72767,1,8.791444
182,-0.562262,0,5.875158
183,0.777187,1,7.649113
184,0.057489,1,7.080202
185,-0.033388,0,5.524943
186,0.333371,1,7.144689
187,0.359609,1,7.487277
188,-0.537043,0,2.184627
189,-0.264317,0,5.05174
190,-0.770882,0,1.299669
191,-0.901665,0,0.845054
192,0.161446,1,8.25247
193,0.710757,1,6.762975
194,-0.336315,0,4.817181
195,-0.911021,0,1.61429
196,-0.011436,0,5.088491
197,-0.790015,0,0.498304
198,-0.441298,0,3.106193
199,-0.107264,0,3.673026
200,-0.838681,0,1.97244
201,0.716269,1,8.134602
202,0.139678,1,7.267901
203,-0.633958,0,4.289206
204,0.755722,1,8.951432
205,-0.093577,0,4.7998
206,0.137953,1,5.937616
207,-0.367029,0,3.618657
208,-0.981093,0,2.244049
209,-0.53857,0,1.100646
210,0.43668,1,7.273392
211,-0.218965,0,5.240244
212,-0.928396,0,1.032627
213,0.925335,1,11.160212
214,-0.355488,0,4.725172
215,-0.480083,0,4.89575
216,0.992867,1,9.948751
217,-0.721083,0,2.099614
218,-0.09265,0,5.188597
219,-0.670415,0,3.032636
220,-0.037662,0,5.981758
221,0.960102,1,11.453288
222,0.378377,1,7.59184
223,0.104919,1,7.703564
224,0.865762,1,11.744314
225,-0.699318,0,3.993553
226,-0.521369,0,6.059759
227,-0.792525,0,-1.108646
228,0.452472,1,9.887335
