month,catheter_days,infections,discharges,readmissions,mean_los
1,4558,9,167,17,4.699371
2,3307,8,194,27,4.508927
3,3258,11,206,31,5.050399
4,4325,10,231,28,5.004697
5,4677,14,204,26,4.555971
6,3576,11,173,21,4.750486
7,3350,11,157,26,5.723467
8,3295,8,217,27,4.640936
9,3868,8,161,18,4.775848
10,4474,6,156,19,4.521518
11,4070,8,212,27,4.909291
12,3229,4,221,29,5.423223
13,4475,10,209,35,4.934534
14,3860,7,151,19,4.56973
15,4500,11,210,22,5.126807
16,3663,10,190,22,4.700262
17,3930,8,191,18,5.921448
18,4349,8,194,24,4.996957
19,3977,19,224,17,5.058723
20,3065,20,157,18,4.88542
21,3495,15,240,37,4.839308
22,3545,19,156,16,4.786473
23,4964,18,244,24,4.875964
24,4873,10,183,21,4.944893
