ward,period,intervention,y
1,1,0,57.0355
1,1,0,55.6897
1,1,0,46.5294
1,1,0,53.0578
1,1,0,63.8179
1,1,0,55.0862
1,1,0,53.4298
1,1,0,61.9687
1,1,0,51.0319
1,1,0,59.0525
1,1,0,57.9431
1,1,0,58.6309
1,1,0,59.3671
1,1,0,50.0332
1,1,0,53.6019
1,1,0,63.9166
1,1,0,56.2298
1,1,0,49.6951
1,1,0,43.6378
1,1,0,39.4478
1,1,0,49.5285
1,1,0,59.2857
1,1,0,62.6165
1,1,0,40.0417
1,1,0,42.3267
1,1,0,59.3533
1,1,0,55.9711
1,1,0,53.0743
1,1,0,58.482
1,1,0,61.0048
1,1,0,54.1425
1,1,0,45.6557
1,1,0,38.3638
1,1,0,70.1971
1,1,0,54.6536
1,1,0,57.8681
1,1,0,49.5309
1,1,0,54.122
1,1,0,53.1927
1,1,0,38.6623
1,1,0,56.0801
1,1,0,66.0854
1,1,0,46.2392
1,1,0,40.4786
1,1,0,63.6259
1,1,0,34.8552
1,1,0,46.4043
1,1,0,52.647
1,1,0,52.6968
1,1,0,33.8445
1,2,0,47.5113
1,2,0,54.449
1,2,0,33.2818
1,2,0,48.9339
1,2,0,47.6785
1,2,0,52.5653
1,2,0,61.7812
1,2,0,46.1753
1,2,0,52.2805
1,2,0,54.2152
1,2,0,53.937
1,2,0,58.9816
1,2,0,57.4653
1,2,0,54.6548
1,2,0,44.3443
1,2,0,44.5561
1,2,0,39.9457
1,2,0,51.2571
1,2,0,41.6758
1,2,0,58.8473
1,2,0,77.7198
1,2,0,62.3194
1,2,0,57.4901
1,2,0,49.7685
1,2,0,70.8038
1,2,0,47.8051
1,2,0,45.4198
1,2,0,43.8364
1,2,0,66.7775
1,2,0,52.0929
1,2,0,62.491
1,2,0,50.2357
1,2,0,42.2959
1,2,0,52.7144
1,2,0,50.5641
1,2,0,57.5168
1,2,0,58.7156
1,2,0,67.8596
1,2,0,53.4813
1,2,0,65.8566
1,2,0,56.2989
1,2,0,47.6671
1,2,0,56.4098
1,2,0,38.5753
1,2,0,45.859
1,2,0,68.9919
1,2,0,49.6264
1,2,0,45.91
1,2,0,54.2002
1,2,0,56.0815
1,3,0,42.1665
1,3,0,60.8832
1,3,0,51.1761
1,3,0,55.3812
1,3,0,49.2963
1,3,0,51.887
1,3,0,64.1458
1,3,0,65.1838
1,3,0,52.9029
1,3,0,53.6567
1,3,0,51.9954
1,3,0,40.9765
1,3,0,65.4886
1,3,0,63.759
1,3,0,44.3039
1,3,0,48.4143
1,3,0,47.9443
1,3,0,59.7386
1,3,0,57.7607
1,3,0,55.4564
1,3,0,58.834
1,3,0,58.4785
1,3,0,51.6499
1,3,0,49.2083
1,3,0,52.3248
1,3,0,51.4785
1,3,0,61.5005
1,3,0,60.6164
1,3,0,54.8791
1,3,0,53.5293
1,3,0,54.5187
1,3,0,54.3368
1,3,0,59.1018
1,3,0,60.0271
1,3,0,45.4272
1,3,0,50.9766
1,3,0,49.7467
1,3,0,53.3498
1,3,0,73.2744
1,3,0,40.6211
1,3,0,60.6174
1,3,0,46.4943
1,3,0,42.7465
1,3,0,61.5906
1,3,0,52.5925
1,3,0,46.164
1,3,0,58.5504
1,3,0,55.1384
1,3,0,46.4616
1,3,0,51.1682
1,4,0,46.3356
1,4,0,44.0579
1,4,0,51.1646
1,4,0,48.9616
1,4,0,49.1064
1,4,0,46.5478
1,4,0,53.7569
1,4,0,65.3626
1,4,0,42.7455
1,4,0,61.433
1,4,0,51.542
1,4,0,67.2668
1,4,0,52.2395
1,4,0,49.6015
1,4,0,53.9039
1,4,0,41.2575
1,4,0,59.5934
1,4,0,54.2445
1,4,0,61.5235
1,4,0,71.2791
1,4,0,51.7724
1,4,0,64.3996
1,4,0,61.8127
1,4,0,64.4213
1,4,0,69.5511
1,4,0,61.3324
1,4,0,68.8197
1,4,0,50.6369
1,4,0,63.0049
1,4,0,62.4807
1,4,0,47.84
1,4,0,46.0754
1,4,0,41.6739
1,4,0,62.257
1,4,0,50.3268
1,4,0,70.4504
1,4,0,51.0073
1,4,0,50.1654
1,4,0,70.8567
1,4,0,53.7335
1,4,0,62.6555
1,4,0,64.2148
1,4,0,60.0418
1,4,0,38.9353
1,4,0,59.9384
1,4,0,50.0924
1,4,0,54.2256
1,4,0,58.7502
1,4,0,45.1923
1,4,0,59.1388
1,5,1,57.5781
1,5,1,50.7287
1,5,1,63.1478
1,5,1,56.3085
1,5,1,44.4178
1,5,1,50.7123
1,5,1,54.4736
1,5,1,51.8352
1,5,1,51.1624
1,5,1,46.6151
1,5,1,57.3585
1,5,1,54.9652
1,5,1,60.8873
1,5,1,40.3436
1,5,1,60.2843
1,5,1,52.7673
1,5,1,55.521
1,5,1,57.4192
1,5,1,60.887
1,5,1,52.2271
1,5,1,37.427
1,5,1,47.246
1,5,1,58.5041
1,5,1,60.0656
1,5,1,64.3442
1,5,1,51.2826
1,5,1,51.6062
1,5,1,59.3868
1,5,1,48.5719
1,5,1,49.4454
1,5,1,58.3453
1,5,1,54.8005
1,5,1,60.0914
1,5,1,57.6738
1,5,1,53.1168
1,5,1,46.6317
1,5,1,57.6401
1,5,1,49.2334
1,5,1,66.1341
1,5,1,53.5026
1,5,1,48.0029
1,5,1,41.3651
1,5,1,66.5347
1,5,1,57.0656
1,5,1,60.6773
1,5,1,52.2799
1,5,1,48.0028
1,5,1,52.0367
1,5,1,60.0918
1,5,1,63.7003
1,6,1,49.0041
1,6,1,45.2168
1,6,1,61.3624
1,6,1,59.4789
1,6,1,66.0184
1,6,1,40.4698
1,6,1,52.25
1,6,1,51.4945
1,6,1,62.0065
1,6,1,49.3195
1,6,1,41.4625
1,6,1,62.2585
1,6,1,51.5142
1,6,1,30.2365
1,6,1,50.2191
1,6,1,56.2883
1,6,1,61.4487
1,6,1,44.4949
1,6,1,63.6176
1,6,1,45.5438
1,6,1,52.2905
1,6,1,53.2972
1,6,1,43.1701
1,6,1,50.6236
1,6,1,51.8448
1,6,1,61.7171
1,6,1,62.5133
1,6,1,57.5149
1,6,1,68.3046
1,6,1,60.6535
1,6,1,60.5719
1,6,1,58.6181
