id,rater_a,rater_b
1,4,3
2,2,1
3,4,3
4,2,3
5,1,2
6,1,1
7,4,3
8,3,4
9,2,1
10,1,2
11,2,3
12,3,3
13,2,2
14,1,2
15,2,2
16,2,2
17,3,3
18,2,2
19,4,4
20,3,3
21,2,3
22,2,1
23,2,2
24,2,1
25,1,1
26,1,1
27,2,1
28,1,1
29,1,1
30,1,1
31,3,3
32,2,2
33,2,2
34,2,2
35,1,1
36,1,1
37,2,2
38,2,1
39,3,4
40,2,1
41,4,4
42,4,2
43,3,3
44,4,4
45,2,2
46,1,3
47,2,1
48,4,4
49,2,2
50,1,1
51,2,2
52,3,3
53,3,1
54,2,1
55,1,2
56,3,3
57,4,3
58,3,3
59,2,1
60,1,1
61,2,1
62,1,1
63,3,3
64,4,3
65,2,2
66,3,3
67,2,3
68,3,3
69,2,2
70,4,4
71,4,4
72,3,3
73,1,2
74,1,2
75,2,1
76,2,1
77,4,4
78,1,1
79,2,2
80,4,3
81,1,1
82,3,4
83,1,2
84,3,2
85,4,3
86,1,1
87,1,1
88,3,1
89,1,2
90,1,2
91,1,1
92,4,3
93,2,1
94,3,3
95,1,2
96,1,1
97,3,2
98,2,1
99,2,1
100,2,3
101,4,4
102,3,2
103,1,2
104,1,1
105,2,1
106,4,3
107,3,2
108,1,2
109,3,1
110,3,4
111,3,2
112,2,1
113,2,1
114,2,2
115,2,2
116,2,2
117,3,4
118,3,2
119,4,3
120,2,3
121,3,3
122,1,1
123,1,1
124,4,3
125,1,2
126,3,2
127,2,3
128,2,4
129,3,3
130,2,3
131,3,3
132,2,3
133,3,3
134,1,2
135,4,3
136,2,1
137,1,2
138,1,1
139,4,4
140,1,1
141,3,3
142,3,2
143,4,3
144,2,4
145,2,1
146,4,3
147,3,4
148,1,1
149,3,3
150,2,1
151,3,2
152,2,2
153,3,4
154,2,2
155,4,4
156,4,4
157,2,3
158,3,2
159,3,3
160,2,4
161,1,1
162,1,2
163,1,2
164,2,1
165,3,3
166,3,3
167,1,1
168,1,1
169,3,3
170,1,3
171,2,1
172,1,1
173,2,1
174,3,4
175,2,2
176,2,1
177,1,2
178,1,3
179,3,3
180,1,1
181,2,2
182,2,1
183,2,4
184,3,4
185,4,4
186,1,3
187,2,2
188,2,2
189,2,2
190,4,2
191,1,1
192,2,1
193,4,4
194,2,3
195,2,1
196,3,3
197,2,1
198,3,3
199,3,3
200,1,1
201,2,3
202,2,2
203,2,2
204,4,4
205,4,4
206,2,2
207,4,4
208,1,1
209,3,2
210,2,1
211,4,3
212,4,4
213,1,2
214,3,3
215,1,2
216,2,1
217,3,3
218,2,2
219,2,1
220,1,1
221,3,3
222,1,2
223,2,1
224,1,1
225,2,2
226,3,2
227,2,1
228,4,3
229,1,3
230,3,3
231,3,3
232,3,3
233,2,1
234,3,2
235,1,2
236,2,2
237,1,2
238,2,1
239,2,2
240,1,2
241,2,2
242,2,2
243,3,3
244,3,2
245,3,4
246,3,3
247,1,2
248,1,2
249,4,4
250,3,3
251,4,4
252,3,3
253,1,2
254,2,1
255,1,1
256,3,4
257,2,1
258,1,2
259,2,2
260,2,3
261,3,2
262,3,4
263,1,1
264,3,3
265,3,3
266,3,3
267,2,2
268,1,1
269,2,2
270,3,4
271,2,2
272,3,4
273,1,2
274,3,1
275,2,1
276,3,2
277,1,1
278,1,1
279,1,1
280,1,2
281,2,2
282,1,1
283,1,1
284,3,3
285,1,1
286,1,1
287,2,2
288,2,2
289,2,2
290,3,3
291,4,2
292,1,1
293,4,3
294,1,1
295,2,3
296,2,2
297,2,2
298,2,2
299,2,2
300,3,3
