id,before,after
1,13.136139,15.787597
2,21.634812,18.254772
3,14.255495,13.722606
4,12.701536,39.423291
5,24.473211,27.432653
6,15.113673,23.562525
7,18.04567,21.292355
8,19.589488,23.559276
9,29.801857,33.616639
10,15.777273,8.298311
11,13.743853,12.976157
12,19.530101,24.269612
13,19.450144,22.626745
14,24.603699,27.481205
15,24.89105,26.822149
16,21.074982,25.431885
17,24.438181,30.152041
18,20.347046,15.292422
19,24.336598,29.348172
20,21.933712,25.296223
21,16.984631,26.216867
22,26.422705,26.969194
23,21.580583,24.155715
24,18.502852,20.967302
25,19.559893,20.562502
26,18.736883,20.76757
27,21.509702,14.676489
28,20.124706,24.947959
29,16.315442,23.723688
30,23.584386,25.449166
31,21.469568,25.789859
32,19.274743,26.492603
33,22.435953,20.690203
34,20.356767,25.51552
35,14.143713,13.865989
36,18.225558,17.694628
37,27.157747,29.170884
38,11.438259,18.615123
39,10.005034,6.193128
40,20.856951,27.73438
41,18.370156,11.713426
42,14.437567,18.381653
43,20.18148,18.87432
44,18.163689,21.354267
45,24.203538,23.803172
